,경제단어
0,"('삼성', 304)"
1,"('한국', 232)"
2,"('정부', 205)"
3,"('기업', 166)"
4,"('회장', 159)"
5,"('명', 150)"
6,"('금융', 146)"
7,"('전자', 146)"
8,"('투자', 139)"
9,"('등', 129)"
10,"('주택', 129)"
11,"('단독', 123)"
12,"('대출', 122)"
13,"('중', 113)"
14,"('더', 113)"
15,"('경제', 111)"
16,"('지원', 106)"
17,"('최대', 102)"
18,"('증가', 100)"
19,"('사회', 99)"
20,"('위', 99)"
21,"('제', 99)"
22,"('현대차', 98)"
23,"('첫', 97)"
24,"('차', 96)"
25,"('은행', 92)"
26,"('금리', 89)"
27,"('성장', 89)"
28,"('곳', 88)"
29,"('산업', 86)"
30,"('논란', 84)"
31,"('채용', 84)"
32,"('인상', 83)"
33,"('고용', 83)"
34,"('중소기업', 82)"
35,"('안', 81)"
36,"('국내', 80)"
37,"('내년', 79)"
38,"('서울', 79)"
39,"('일자리', 79)"
40,"('수출', 79)"
41,"('미국', 78)"
42,"('시장', 77)"
43,"('수', 76)"
44,"('출시', 76)"
45,"('아파트', 76)"
46,"('소득', 76)"
47,"('청년', 75)"
48,"('올해', 74)"
49,"('서비스', 71)"
50,"('현대', 71)"
51,"('중국', 71)"
52,"('공개', 71)"
53,"('영업', 70)"
54,"('것', 70)"
55,"('최저임금', 70)"
56,"('확대', 69)"
57,"('개', 69)"
58,"('가상', 68)"
59,"('사업', 67)"
60,"('김동연', 67)"
61,"('포스코', 67)"
62,"('스마트폰', 66)"
63,"('최고', 66)"
64,"('달', 65)"
65,"('네이버', 65)"
66,"('규제', 64)"
67,"('새', 64)"
68,"('경영', 63)"
69,"('협력', 63)"
70,"('왜', 62)"
71,"('기술', 62)"
72,"('로', 61)"
73,"('배', 61)"
74,"('추진', 61)"
75,"('개월', 61)"
76,"('조사', 61)"
77,"('거래', 61)"
78,"('그룹', 60)"
79,"('사', 60)"
80,"('때', 59)"
81,"('혁신', 59)"
82,"('세', 59)"
83,"('업체', 59)"
84,"('카카오', 59)"
85,"('개발', 58)"
86,"('공정위', 58)"
87,"('사장', 58)"
88,"('재벌', 57)"
89,"('이익', 56)"
90,"('금감원', 56)"
91,"('통화', 56)"
92,"('세계', 55)"
93,"('노조', 54)"
94,"('전', 53)"
95,"('주식', 53)"
96,"('지난해', 53)"
97,"('대기업', 53)"
98,"('은', 52)"
99,"('또', 51)"
100,"('총', 51)"
101,"('정보', 51)"
102,"('주', 50)"
103,"('바이오', 49)"
104,"('자동차', 49)"
105,"('이재용', 49)"
106,"('감소', 48)"
107,"('직원', 47)"
108,"('사상', 46)"
109,"('공장', 46)"
110,"('정책', 46)"
111,"('임대', 46)"
112,"('생산', 46)"
113,"('비', 46)"
114,"('집', 45)"
115,"('관세', 45)"
116,"('업계', 44)"
117,"('률', 44)"
118,"('강화', 44)"
119,"('뒤', 44)"
120,"('판매', 44)"
121,"('롯데', 44)"
122,"('대한항공', 43)"
123,"('경기', 43)"
124,"('대책', 43)"
125,"('도입', 43)"
126,"('문', 43)"
127,"('부회장', 43)"
128,"('증권', 43)"
129,"('검토', 43)"
130,"('이유', 42)"
131,"('일', 42)"
132,"('지역', 42)"
133,"('가격', 42)"
134,"('전망', 42)"
135,"('대표', 42)"
136,"('보험', 42)"
137,"('뉴스', 42)"
138,"('협상', 42)"
139,"('가능', 42)"
140,"('비리', 42)"
141,"('이상', 42)"
142,"('집값', 41)"
143,"('재', 41)"
144,"('공사', 41)"
145,"('취업', 41)"
146,"('임금', 40)"
147,"('기아차', 40)"
148,"('무역', 40)"
149,"('개혁', 40)"
150,"('지능', 40)"
151,"('부동산', 39)"
152,"('해외', 39)"
153,"('남북', 39)"
154,"('타이어', 39)"
155,"('의혹', 38)"
156,"('전환', 38)"
157,"('값', 38)"
158,"('인터넷', 38)"
159,"('추가', 38)"
160,"('안전', 38)"
161,"('용', 37)"
162,"('개편', 37)"
163,"('하나', 37)"
164,"('체인', 37)"
165,"('철강', 37)"
166,"('현장', 37)"
167,"('매출', 36)"
168,"('반도체', 36)"
169,"('공급', 36)"
170,"('장관', 36)"
171,"('내', 36)"
172,"('영향', 36)"
173,"('개선', 36)"
174,"('금호', 36)"
175,"('사고', 36)"
176,"('국토부', 36)"
177,"('원전', 35)"
178,"('살', 35)"
179,"('블록', 35)"
180,"('설', 35)"
181,"('인공', 34)"
182,"('평균', 34)"
183,"('건', 34)"
184,"('위기', 34)"
185,"('강남', 33)"
186,"('대통령', 33)"
187,"('상승', 33)"
