,Title,Date,News
0,"[사설] 자치경찰제, 영역다툼 등 부작용 없도록 철저히 준비해야",2018.11.13,"자치경찰제가 내년 하반기부터 서울, 세종, 제주 등 5개 지역에서 시범 운영을 거친 뒤 2022년부터 전국에 전면 시행된다. 자치경찰에 모든 사무와 인력이 이관되는 2022년에는 경찰인력의 36%인 4만3000여명이 국가직에서 지방적으로 전환된다. 대통령 소속 자치분권위원회 자치경찰제 특별위원회(자치경찰특위)는 어제 열린 정책토론회에서 이 같은 내용의 ‘자치경찰제 도입 방안’을 발표했다.이 방안에 따르면 각 시·도에는 현재의 지방경찰청에 대응하는 자치경찰본부가, 시·군·구에는 경찰서에 대응하는 자치경찰대(단)가 설치된다. 기존 지방경찰청과 경찰서에서 맡고 있는 생활안전과 여성·청소년, 교통, 지역경비 등 주민 밀착형 사무는 각각 자치경찰본부와 자치경찰대(단)로 이관된다. 학교폭력, 교통사고, 음주운전 같은 민생치안 사건 수사권도 넘어간다. 국가경찰은 정보·보안·외사·경비 등 업무와 광역범죄·국익범죄·민생치안 사무 중 전국적 규모를 담당하게 된다.자치경찰제의 성패는 국가경찰과의 명확하고 효율적인 역할 분담을 통해 업무 중복을 피하면서도 치안 사각지대를 없앨 수 있느냐에 달려 있다. 그러나 자치경찰특위안 대로라면 상당한 시행착오와 부작용이 우려된다. 우선 국가·자치경찰 간 또는 자치경찰끼리 영역 다툼이 생길 수 있다. 가령 한 범죄자가 서울·제주·강원에서 범죄를 저질렀을 경우 자치경찰제 하에서는 수사 주체가 누구인지, 관할은 어디인지, 범행 수위가 어떤지를 놓고 시간을 허비할 수 있다. 지방 범죄와 국가 범죄, 강력 범죄와 일반 범죄가 칼로 무 자르듯 나뉘는 게 아니기 때문이다. 특위 초안을 보면 예방이나 초동대처는 자치경찰 하의 지구대에서, 수사는 국가경찰에서 하는 식인데, 지휘체계 문제로 인한 혼선도 불가피해 보인다.시도지사와 지역 유력인사들이 사실상 자치경찰에 영향력을 행사하는 만큼 자치경찰이 지방정치의 도구로 전락할 가능성이 있다는 우려에도 귀를 기울여야 한다. 자치경찰이 지방에서 입김이 센 유력 인사나 정치인 등을 수사하는 데 한계가 있을 수밖에 없다. 자치경찰제 실행에 앞서 빈틈없이 준비해야 허점과 혼선을 최소화할 수 있다."
1,[사설] 말 안 통하는 노조 실상 알았다면 노동개혁 회피 말라,2018.11.13,"정부·여당에서 민주노총에 대한 성토가 쏟아지기 시작했다. 홍영표 더불어민주당 원내대표는 그제 민노총을 두고 “대화를 해서 뭐가 되는 곳이 아니다”며 “항상 폭력적 방식이고, 자기들 생각을 100% 강요하려 한다”고 했다. 그는 민노총 산하 금속노조 소속인 한국GM의 전신인 대우차 노조위원장 출신이다. 앞서 임종석 대통령비서실장은 “민노총과 전교조는 더 이상 사회적 약자라고 생각하지 않는다”고 했다.‘친노조 정부’에서 민노총 비판이 터져 나오는 것은 정책마다 사사건건 반기를 들고 있기 때문이다. ‘반시장’ 정책 홍수 속에서도 그마나 친시장적인 광주형 일자리와 탄력근로제 확대는 민노총에 발목 잡혀 자칫 무위로 돌아갈 지경이다. 민노총은 지난 주말 대규모 집회로 세를 과시한 데 이어 21일에는 총파업에 들어가기로 했다. 사회적 대화기구인 경제사회노동위원회 참여도 거부했다. 하나하나가 정부를 굴복시키겠다는 의도를 배경으로 한 행동이다. 노무현 전 대통령이 “대통령 못 해 먹겠다”고 한 2003년과 판박이다.민노총의 행태는 목불인견이다. 한국GM 노조원들은 지난 8일부터 홍 원내대표의 인천 사무실을 점거한 채 농성을 벌이고 있다. 홍 원내대표는 “한국GM 노조가 최근 사장을 감금해 난리가 났는데, 미국 같으면 감금은 테러”라고 비난했다. 그것을 이제야 알았는가. 그런 불법 점거는 지금도 곳곳에서 저질러지고 있다. 민노총 대구지역 노조원들은 11일 대구 고용노동청장실을 불법 점거했다. 경북지부 노조원들은 이달 초 김천시장실을 불법 점거하고, 한국GM 창원 비정규직지회는 그제 고용부 창원지청 대회의실을 점거했다. 백주에 불법을 저질러도 경찰은 제지조차 하지 않는다. 정부·여당이 민노총 눈치를 보는 판이니 공권력이 제대로 작동될 리 만무하다. ‘민노총 세상’이란 비판이 나오는 이유다.홍 원내대표의 말이 아니더라도 민노총이 일방적이고 폭력적이지 않은 경우는 드물었다. 실상을 깨달았다면 정부는 지금이라도 ‘공정한’ 법 집행에 나서야 한다. 최저임금 인상, 주 52시간 근무제, 비정규직의 정규직화 등 친노조 정책은 나라경제를 벼랑으로 내몰고 있다. 국제신용평가사인 무디스는 어제 “한국 경제는 선진국 중 내년에 가장 위험하다”고 전망했다. 정부는 지금이라도 당찮은 친노조 틀에서 벗어나 노동개혁에 나서야 한다. 더 큰 국가적 위기를 막는 길이다."
2,[사설] 美는 북 압박하는데 韓은 감싸고… 이게 한·미 관계 현실,2018.11.13,"미국 전략국제문제연구소(CSIS)가 그제 보고서를 통해 이제껏 공개되지 않은 북한 미사일기지 약 20곳 중 황해북도 삭간몰기지 등 13곳의 위치를 파악했다고 밝혔다. 비무장지대(DMZ)에서 85㎞ 떨어져 있는 삭간몰기지는 북한 전략군 전진기지로 단거리탄도미사일(SRBM) 기지지만 중거리탄도미사일(MRBM) 운용도 가능하다고 한다. 보고서는 “현재 이 기지는 활동이 이뤄지고 있고 꽤 잘 유지되고 있다”고 했다. 조지프 버뮤데즈 CSIS 연구원은 “북한이 (핵·미사일) 역량을 최대화하려는 것으로 보인다”며 “이들 기지에선 어떤 미사일이라도 핵탄두를 장착할 수 있다”고 밝혔다. 이와 관련해 뉴욕타임스는 “북한이 16곳의 비밀기지에서 탄도미사일 프로그램을 진행하고 있다. 북한이 큰 속임수를 쓰고 있다”고 전했다.미국에서 파장이 커지고 있다. 국무부는 싱가포르 북·미 정상회담에서 김정은 국무위원장이 한 약속은 완전한 비핵화와 탄도미사일 프로그램 제거를 포함한다고 밝혔다. 미국 언론이 북한 비핵화 진정성에 회의적인 보도를 쏟아내는 가운데 야당인 민주당 소속 의원들은 북한 핵위협 악화를 들어 내년 초로 예정된 2차 북·미 정상회담 개최에 반대한다는 입장을 내놓기도 했다.청와대 반응은 달랐다. CSIS 보고서에 대해 “단거리 미사일용”이라며 “한·미 정보당국이 파악하고 있던 내용”이라고 일축했다. “북한이 이 미사일 기지를 폐기하겠다고 약속한 적이 없고, 해당 기지 폐기가 의무조항인 어떤 협정도 맺은 적이 없다”며 북한을 감쌌다. 청와대가 국방부 등 유관 부처를 제치고 직접 나선 것도 모양새가 좋지 않다.이번에 공개된 북한 미사일 기지가 미국을 위협하는 대륙간탄도미사일(ICBM)이나 중장거리탄도미사일(IRBM)과 무관하다는 청와대 설명이 틀린 건 아니다. 하지만 북한 단거리미사일은 5000만 우리 국민을 겨냥한 무기다. 미국보다 우리 정부가 앞장서서 문제 삼아야 할 사안이다. 그런데도 정부는 북한 미사일 위협을 애써 외면한다. 이러니 북쪽만 바라보느라 정작 대한민국의 안보를 놓치고 있다는 비난이 나오는 것 아닌가.앞으로 한·미 대북 공조가 제대로 굴러갈지 걱정이다. 미국은 북핵 협상과 관련해 우리 정부와 손발이 맞지 않는다고 여길 것이다. 미국이 북한 비핵화에 진전이 없으면 내년 봄 대규모 한·미 연합군사훈련을 재개할 수 있다고 일본 정부에 밝혔다고 한다. 북한 매체들은 남북 군사분야 합의를 들먹이면서 소규모 한·미 해병대 연합훈련까지 중단하라고 소리친다. 정부의 남북관계 과속으로 한·미 공조가 틀어지고 북한만 기고만장해졌다. 청와대부터 정신을 차려야 한다."
3,"[사설] “평화는 깨지기 쉽고, 그것을 지키는 게 우리의 임무”",2018.11.13,"에마뉘엘 마크롱 프랑스 대통령이 그제 “평화는 깨지기 쉽고, 그것을 지키는 게 우리의 임무”라고 했다. 제1차 세계대전 종전 100주년 기념식에서 한 말이다. 1918년 11월11일 연합국이 독일의 항복문서를 받으면서 군인 사망자만 근 1000만명에 달한 제1차 세계대전의 비극이 종지부를 찍었다. 영구적 평화에 대한 희망과 기대가 용솟음친 것은 두말할 필요도 없다. 그러나 역사는 그 희망이 물거품에 그친 사실을 알려준다. 작금의 국제정세도 다르지 않다. 마크롱은 그런 현실을 엄중히 환기한 것이다.마크롱은 “지금 세계는 1·2차 세계대전 사이 시기와 비슷해 충격적”이라면서 “종전은 평화가 아니었다”고 단언했다. 마크롱만 각성을 촉구한 것이 아니다. 앙겔라 메르켈 독일 총리는 “편협한 국가주의자들의 관점이 다시금 힘을 얻을지도 모른다”고 경고했다. 안토니우 구테흐스 유엔 사무총장도 “현 정세는 20세기 초의 혼란기와 비슷한 점이 많다”고 했다.기념식은 프랑스 파리에서 열렸다. 하지만 먼 나라 얘기일 수는 없다. 국제정세 불안은 언제라도 한반도에 쓰나미를 몰고 올 수 있다. 더 걱정스러운 것은 한반도의 불안이 세계 평화를 뒤흔드는 뇌관이 될 수도 있다는 점이다. 68년 전 불법 남침으로 동족상잔의 비극을 초래한 북한이 오늘날엔 핵·미사일로 평화를 위협하고 있지 않은가. 문재인 대통령은 내일 5박6일의 해외순방에 나선다. 아세안(동남아국가연합) 관련 정상회의 일정 등이 잡혀 있다. 청와대 기류로 보면 북핵 협상 교착을 타개할 중재 외교에 방점이 찍힌 행보다. 청와대는 앞서 그제 북한에 제주산 귤 200t을 선물로 보냈다. 남북이 비무장지대 감시초소(GP) 22곳 병력·화기 등의 철수를 완료했다는 국방부 발표도 그제 나왔다. GP 철수는 9·19 군사합의 시범사업이다. 집권여당이 경제인 등으로 구성된 대규모 방북단을 꾸리고 있다는 얘기도 들린다. 모두 남북관계 개선이 시급하다는 정부 인식과 무관치 않다. 문 대통령은 북한의 비핵화 의지를 굳게 믿기에 북한을 감쌀 것이다.남북관계 개선에 반대할 사람은 없다. 그러나 진정한 성공, 진정한 평화를 원한다면 먼저 명심할 것이 있다. 평화는 믿음에서 오는 게 아니라는 역사적 교훈이다. 나치 독일의 약속을 믿은 영국, 독·소 불가침조약을 믿은 구소련은 자국에 재앙을, 세계에 전쟁을 불렀다. 마크롱의 말대로 적이 약속하는 평화는 신기루에 불과하다.평화를 지키는 원동력은 결국 힘이다. 상대 오판과 도발을 원천적으로 막을 군사력과 동맹의 결속력 없이 상대를 믿는 것은 허망하고 위태롭다. 대한민국 안보 일선을 지킬 군사력을 무력화하고 한·미동맹을 약화시키는 남북관계 과속이 그래서 우려를 낳는 것이다. 균형감각이 중요하다. 문재인정부는 대한민국의 힘이 어디서 나오는지 거듭 성찰해야 한다."
4,[사설] “태양광이 환경 파괴”… 전 환경장관 우려 새겨들어야,2018.11.13,김은경 전 환경부 장관이 정부의 재생에너지 정책에 대해 우려를 표시했다. 9일 퇴임한 김 전 장관은 “(태양광·풍력 등) 공사 현장에 가면 위기감이 든다”면서 “산 정상을 쳐 없애고 거의 고속도로를 만들고 있어 도저히 받아들이기 어려운 구조로 가고 있다”고 했다. “태양광도 산지를 훼손하면서 가면 어렵다”고도 했다. 정부가 친환경을 내세워 태양광·풍력 발전을 밀어붙이면서 역설적으로 산림이 훼손되는 점을 지적한 것이다.태양광 발전시설 건설에 따른 환경 피해는 심각한 수준이다. 한국환경정책평가연구원(KEI)에 따르면 2004년 이후 15년 동안 전국 곳곳에 태양광 발전시설이 들어서면서 서울 여의도 면적 9배에 해당하는 산림이 훼손되고 200만그루가 넘는 나무가 잘려나갔다. ‘탈원전’을 대신해 2030년까지 재생에너지 비중을 20%로 늘리려는 문재인정부의 ‘재생에너지 3020 계획’을 달성하려면 태양광 시설을 위해 여의도 면적의 150배에 달하는 444㎢가 추가로 필요하다고 한다. 지금까지 태양광 전체 개발 면적의 60%가량이 임야였다는 점을 고려하면 앞으로 더 큰 규모의 산림 훼손이 불가피하다는 뜻이다. 이뿐이 아니다. 태양광 설비를 구축하려면 수십년 된 나무를 뿌리째 뽑아내야 하므로 산사태와 토사 유출 등 심각한 2차 피해도 피할 수 없게 된다. 대규모 태양광 시설이 산림을 훼손하고 난개발을 부추기는 것이다.상황이 이런데도 환경단체들이 왜 침묵을 지키고 있는지 알 수 없다. 4대강 사업과 설악산 케이블카 설치에는 그토록 반대 목소리를 높이던 그들이 아니었던가. 이대로라면 태양광 패널이 우리 임야를 뒤덮을지도 모른다. 환경단체들이 정부의 성향에 따라 입장을 달리한다면 그들의 순수성이 의심을 받을 것이다.결국 이 모든 것은 정부가 아무런 제동장치도 없이 탈원전 드라이브를 걸어온 부작용이라고 할 수밖에 없다. ‘과속 정책’의 결과가 이렇듯 심각하다. 정부는 김 전 장관의 우려를 새겨들어야 한다. 이제라도 탈원전 속도전을 멈추고 후유증을 최소화하기 위한 대책 마련에 나서야 옳다. 금수강산을 훼손하고 원전 산업의 생태계까지 파괴하는 탈원전 정책은 중단돼야 한다.
5,[사설] 내신 신뢰회복 숙제 남긴 숙명여고 시험정답 유출 사태,2018.11.13,"서울 숙명여고 정기고사 시험문제·정답유출 사건을 수사한 경찰이 실제 문제 유출이 5회 있었다고 결론짓고 어제 수사를 마무리했다. 경찰은 이 학교 전임 교무부장(53·구속)과 함께 쌍둥이 자매도 기소 의견으로 검찰에 넘겼다. 서울 강남 한복판에 있는 명문 고교가 이런 지경이라면 다른 학교는 상황이 어떨지 불 보듯 뻔하다는 비난이 일고 있다.이번 사건으로 고교 내신에 대한 신뢰 문제가 다시 한 번 도마에 올랐다. 교육단체들은 교육부가 전국 모든 고등학교에 대해 전수조사해야 한다고 촉구한다. 내신 시험문제가 유출된 것은 숙명여고가 처음은 아니다. 지난 7월 광주 B고교 행정실장이 시험지를 복사해 학부모에게 건네고, 일부 학생에게 시험문제를 알려줘 구속됐다. 지난해 10월 경기 C고교에선 교사가 학교운영위원 자녀의 학교생활기록부를 수정하다 적발됐다. 올해 적발된 것만도 광주 등 3건이고, 2014년 이후 13건에 달한다. 하지만 당국에 적발된 것은 ‘빙산의 일각’이란 시각이 지배적이다.학교 단위로 내신 시험이 치러지는 한 이런 비리는 언제든지 재발할 수 있다. 교육부에 따르면 지난 8월 현재 고교 2360개 가운데 560개교(23.7%)에서 교원과 자녀가 같이 다니고 있다. 해당 교원은 1005명, 교원 자녀는 1050명이다. 교육부는 최근 시험지 인쇄실 등에 폐쇄회로(CC)TV를 설치하고, 교사와 자녀가 한 학교에 다니는 것을 원칙적으로 금지하겠다고 발표했다. 교육부의 대책이 나오자 일부 교육청과 학교에선 “선의의 피해자가 생길 수 있다”고 반발한다. 사후약방문식의 대책이 제대로 먹힐지 의문이다.정부가 바뀔 때마다 조령모개식으로 수술대에 오르는 것이 대학 입시정책이다. 문재인정부 들어서도 2022학년도 대학입시 개편안을 놓고 하청, 재하청 논란까지 빚었다. 이번 숙명여고 시험정답 유출사태를 보면 입시제도를 바꾸는 것보다 시험의 신뢰성 확보가 더 화급하다는 생각이 든다. 대입 수시전형 비율은 내년 76%, 내후년 77.3%로 오른다. 신뢰가 담보되지 않은 내신 확대는 사상누각이다. 정부와 교육계는 내신의 신뢰 확보를 위해 머리를 맞대야 한다."
6,[사설] 더 강해진 美 대북 압박… 北은 가볍게 보지 말아야,2018.11.11,"마이크 펜스 미국 부통령은 그제 워싱턴포스트 기고문에서 “북한에 대해 전례 없는 외교적·경제적 압박을 계속 가해 나갈 것”이라고 했다. “우리 결의가 그 나라(북한)를 협상 테이블로 이끌었다”며 “한반도의 완전한 비핵화를 달성할 때까지 제재를 포함한 압박 캠페인을 유지할 것을 모든 인도·태평양 국가들에 요구한다”고도 했다. 미 재무부는 앞서 7일 6300만달러 상당의 북한 정부 관련 자산을 동결 조치했다. 미국 중간선거 직후 북·미 고위급회담이 연기된 뒤 도널드 트럼프 행정부가 ‘선 비핵화, 후 대북제재 완화’ 방침에서 절대 물러서지 않겠다는 강력한 의지를 밝힌 것이다.트럼프 행정부가 이처럼 대북 강경 기조를 보이는 데는 이유가 있다. 최대 현안이던 중간선거가 끝나면서 한숨을 돌린 트럼프 대통령으로서는 북한과의 협상에 목을 맬 이유가 없다. 차기 대선까지는 2년이나 남았다. 트럼프 대통령이 중간선거 다음날 기자회견에서 북핵 문제에 대해 “서두를 것 없다”는 말만 7차례 되풀이한 것도 이런 배경에서다. 대북제재라는 칼자루를 쥔 채 북한이 실질적인 비핵화 조치를 이행할 때까지 기다리겠다는 뜻이다.미국 정부로서는 중간선거 결과로 의회권력 지형에 변화가 생긴 점도 의식하지 않을 수 없다. 야당인 민주당이 하원을 장악하면서 트럼프 행정부의 북한 비핵화 협상에 대한 감시가 강화할 가능성이 커졌다. 하원에는 정부 예산 심의권과 정부 정책을 견제·감시하는 감독청문회 제도가 있다. 민주당이 하원에서 대북 협상 관련 예산에 제동을 걸거나 청문회를 열어 협상 내용에 이의를 제기하면 대북 협상이 영향을 받지 않을 수 없다. 트럼프 행정부가 비핵화 대화에 진전이 없는데도 마치 있는 것처럼 주장하는 등 일방통행식으로 진행하기 어렵게 된 것이다. 민주당은 북한 인권문제도 의제에 올릴 것을 요구할 공산이 크다.북한이 해묵은 위장전술로 워싱턴을 농락할 수 있다고 판단한다면 오산이다. 북한은 중간선거 이후 미국 정부와 의회 기류를 정확히 읽고 구체적인 비핵화 실천 방안을 갖고 협상 테이블로 나와야 한다. 그래야 대북제재에서 벗어나 살길이 열린다."
7,"[사설] ‘깜깜이’ 남북기금 예산, 국정원 특활비와 뭐가 다른가",2018.11.11,"남북협력기금이 ‘깜깜이 예산’으로 변질되고 있다. 통일부는 1조977억원으로 늘린 내년도 남북협력기금 중 38%인 4172억원을 ‘기타 경제협력 사업(무상)’과 ‘경협기반(융자)’ 명목으로 비공개 예산으로 편성했다. 야당은 세부내역을 요구하지만 정부·여당은 오불관언이다. “북한에 협상전략이 노출될 수 있다”는 이유로 공개를 거부했다. 국민 세금이 어디에 쓰이는지 감시해야 할 국회조차 알 필요가 없다는 식이니 이런 막무가내도 없다. 협상전략 노출을 걱정한다면 국회가 비공개로 심의하면 될 일이다.비공개 예산을 전용한 사실도 드러났다. 통일부가 비공개 항목으로 편성한 올해 ‘경협기반 무상 예산’ 2350억7300만원 중 약 1210억원을 금강산 기업 피해 지원에 썼다고 한다. 남북 철도·도로 협력, 남북경협 기반시설 구축 등에 활용하기로 한 돈을 기금 운용계획안 어디에도 없는 남한기업 지원에 쓴 것이다. 누가 봐도 규정을 어긴 예산 전용이다. 통일부는 자세한 지원내역을 밝히지 않고 있다. 지난 9월 남북공동연락사무소 개·보수에 건립비용과 맞먹는 약 100억원을 쓰고도 상세내역을 공개하지 않는 것과 판박이다. 남북협력기금을 마음대로 써도 되는 쌈짓돈쯤으로 여기는 것은 아닌지 의구심이 든다. 이런 식이라면 전직 대통령과 고위관료를 줄줄이 형사처벌한 국가정보원 특수활동비 전용과 무엇이 다르겠는가.남북협력기금 용도를 심의·의결하는 남북교류협력추진협의회의 구성을 놓고 보면 더욱 우려스럽다. 협의회는 통일부 장관을 위원장으로, 각 부처 차관 12명, 장관 추천 민간위원 5명 등 18명으로 구성된다. 민간위원 중 4명은 시민단체 출신이다. 투명한 예산 집행을 위한 견제 기능이 제대로 작동하고 있는지 의문이다. 비공개 예산 비중은 현 정부 들어 급상승했다. 지난해 기금의 16.2%에서 올해 26.5%, 내년엔 38%로 치솟는다. 협의회가 이들 자금을 국회 감시도 없이 떡 주무르듯 하는 것이다.정부는 쓸데없는 의혹을 부르지 않기 위해서라도 상세한 편성 항목과 지출내역을 공개해야 한다. 끝내 공개하지 않는다면 국회는 관련 예산을 전액 삭감해야 한다. 납세자인 국민에 대한 국회의 당연한 책무다."
8,"[사설] 새 경제팀, 이런 현실 인식으로 경제 살릴 수 있겠나",2018.11.11,"김광두 국민경제자문회의 부의장이 어제 트위터를 통해 “경제의 뿌리가 흔들리고 있다”면서 “위기 논쟁은 한가한 말장난”이라고 했다. 최근 ‘말장난’ 소리를 들을 발언을 한 당사자는 홍남기 경제부총리 겸 기획재정부 장관 후보자다. 그는 최근 보도진 앞에서 “고용, 투자 등 경제지표가 부진하다”면서도 “경기 침체, 경제 위기라는 데는 동의하지 않는다”고 했다. 청와대 심기에 반하는 단어를 터부시한 것이다.김수현 신임 청와대 정책실장의 현실 인식도 걱정이다. 그는 어제 취임 후 첫 브리핑에서 ‘경제정책·사회정책의 통합적 접근’을 강조했다. “포용국가 실현 정책 구상에 힘을 쏟겠다”고도 했다. “위기냐 아니냐 말하는 건 적절치 않다”는 말도 했다. 국가 경제와 민생, 일자리를 늪으로 몰고 가는 소득주도성장 등의 정책 오류에 대한 진솔한 반성은 없었다. 여전히 문재인 대통령이 말한 대로 “(소득주도성장과 최저임금 증가의) 긍정적 효과가 90%”라는 것인가.대한민국 경제 현실은 간단치 않다. 김 부의장이 ‘경제의 뿌리’를 언급한 이유부터 그렇다. 김 부의장은 “공장 가동률마저 낮아지고 있다”면서 “제조업의 능력이 약해지고 있다는 증거”라고 했다. 실제로 어제 통계청 발표 자료를 보면 올해 1∼9월 공장 가동률이 72.8%에 그쳤다. 기계 4대 중 1대 이상이 놀고 있는 셈이다. 현 정부가 출범한 뒤 외환위기 이후 최악의 공장 가동률이 2년째 지속되고 있는 것이다. 이렇게 산업의 중추인 제조업이 무너지는 것을 보고도 정부가 위기의식을 못 느끼니 그것이야말로 진짜 위기가 아니겠는가.글로벌 자금 동향에 영향을 주는 국제 신용평가사의 눈도 차갑다. 무디스는 최근 내놓은 ‘글로벌 거시전망’ 보고서에서 한국의 올해와 내년 경제성장률을 각각 2.5%, 2.3%로 전망했다. 올해는 2.8%에서 0.3% 낮아진 수치다. 내년 2.3%는 해외 투자은행(IB)의 전망 평균치 2.7%보다 낮고 기존 최저치였던 소시에테제네랄의 2.4%도 밑돈다. 무디스는 주요 20개국(G20)과 10개 선진국의 올해 성장률 전망치를 모두 상향 조정하면서 한국만 예외로 쳤다. “한국 경제의 성장세는 약화하고 있다”고도 했다.국내외 바람이 이렇듯 차면 정신을 바짝 차려야 한다. 더욱이 경제팀의 전격 교체에는 그 정치적 배경과 관계없이 민생을 짓누르는 정책 오류를 더 늦기 전에 바로잡으라는 국민 명령이 담겨 있다. 올바른 처방과 뚝심 있는 추진이 필요한 것이다. 그 대전제는 정확한 현실 진단이다. 그러나 홍 후보자는 ‘말장난’으로 진단을 흐리는 인상부터 주고 있다. 오죽하면 김 부의장이 일침을 가했겠나. 진단이 엉터리이면 배는 산으로 가게 마련이다. 지금보다 더 험악한 지형에 봉착하지 말란 법도 없다. 새 경제팀이 국민 걱정을 키우고 민생을 더 힘겹게 해서는 안 된다."
9,[사설] 또 터진 고시원 화재… 후진국형 참사 언제까지 봐야 하나,2018.11.09,"서울 종로의 한 고시원에서 불이 나 7명이 숨지고 11명이 부상당하는 참사가 벌어졌다. 피해자는 대부분 40∼60대 생계형 일용직 노동자였다. 2017년 12월 제천시 스포츠센터 화재(29명 사망), 지난 1월 밀양시 요양병원 화재(46명 사망)와 종로구 여관 방화(6명 사망)에 이어 대형 화재가 터지면서 문재인정부가 내건 ‘안전한 대한민국’ 구호가 무색해지고 있다.이번 사고는 후진국형 참사의 전형이다. 소방당국과 종로구청에 따르면 사고가 난 고시원은 고시원으로 등록되지 않아 정부의 올해 국가안전대진단 때 점검 대상에서 제외됐다. 1983년 지어져 건축 대장에 고시원이 아닌 ‘기타 사무소’로 등록돼 있다고 한다. 정부는 당시 안전에 취약한 쪽방촌과 고시원 등 8300여곳을 점검했다고 발표했지만, 사실상 구멍이 뚫린 셈이다. 지난 5월 소방점검 때 특별한 지적사항이 없었다고 하니 ‘겉핥기식 점검’이 아니었는지 의문이다.해당 건물에 스프링클러가 없는 것도 피해를 키웠다. 소방시설법 시행령은 150㎡ 이상이거나 창문이 없는 층에 간이 스프링클러를 설치하도록 했으나 사고가 난 고시원은 이런 조건에 해당하지 않았다. 고시원, 여관의 경우 업주들이 비용 문제로 스프링클러 설치를 꺼린다는 문제 제기는 여러 차례 있었다. 서울시가 2012년부터 221개의 고시원에 스프링클러 설치를 지원해줬지만 1080개는 아직도 미설치 상태다.현재 전국적으로 고시원 1만2000여곳에서 15만여명이 거주한다고 한다. 지난해 고시원에서 일어난 화재는 72건에 달한다. 일주일에 한 번 이상 불이 나고 있는 것이다. 고시원에 거주하는 상당수 극빈층이 화재 위험에 고스란히 노출된 현실을 보여준다. 정부는 고시원, 여관 등 다중이용업소 건축물에 대한 소방점검과 감시감독을 대폭 강화해야 한다. 같은 사고가 반복된다면 소 잃고 외양간도 못 고친다는 소리를 듣게 될 것이다."
