,단어명,빈도수
0,대통령,986
1,문,722
2,북,491
3,한국,479
4,남북,379
5,청와대,287
6,회담,277
7,김정은,262
8,것,222
9,홍준표,218
10,평화,216
11,국회,207
12,민주당,205
13,대표,190
14,평양,188
15,명,178
16,북한,177
17,선언,177
18,포토,168
19,자유,165
20,단,161
21,정치,157
22,의원,156
23,정부,153
24,정상회담,152
25,판문점,138
26,전,136
27,위원장,128
28,합의,127
29,안철수,126
30,안,122
31,미래,121
32,비핵화,121
33,등,112
34,후보,111
35,정상,110
36,국민,104
37,김성태,103
38,때,99
39,첫,98
40,더,98
41,정의당,98
42,당,97
43,중,96
44,장관,94
45,오늘,93
46,선거,92
47,노회찬,92
48,기무사,91
49,문재인,90
50,출마,90
51,한반도,89
52,북미,89
53,대화,89
54,추진,86
55,트럼프,84
56,위,84
57,민주,84
58,고위,83
59,여야,82
60,미국,79
61,평창,79
62,제,78
63,논란,77
64,수,76
65,경제,76
66,보수,74
67,서울,74
68,공동,73
69,개헌,73
70,일,72
71,뒤,71
72,특사,70
73,왜,69
74,논의,68
75,대북,68
76,드루,68
77,킹,68
78,개혁,67
79,지지율,67
80,내,66
81,수사,66
82,방북,64
83,말,64
84,의혹,64
85,이해찬,64
86,지방선거,64
87,협의,62
88,새,62
89,김,60
90,비,59
91,서울시장,59
92,발언,58
93,남,58
94,차,57
95,야당,57
96,남북정상회담,57
97,회의,55
98,이유,55
99,정당,54
100,단독,54
101,법,53
102,방문,52
103,이번,52
104,외교,52
105,시작,51
106,종전,51
107,핵,51
108,공개,50
109,총리,50
110,박근혜,50
111,선,50
112,우리,50
113,훈련,50
114,특검,50
115,인사,49
116,군사,49
117,청,49
118,박원순,49
119,사퇴,49
120,김병준,48
121,곳,48
122,지원,48
123,남쪽,48
124,문건,47
125,개,46
126,오,46
127,김영철,46
128,협상,45
129,도착,45
130,이,45
131,제안,45
132,검토,44
133,위원,44
134,국가,44
135,무,44
136,최고,44
137,유승민,44
138,개헌안,44
139,정책,43
140,군,43
141,김문수,43
142,조명,42
143,조사,42
144,싱가포르,42
145,폼페이,42
146,건,41
147,국방부,41
148,국방,41
149,준비,41
150,국정원,41
151,관,41
152,사과,40
153,실무,40
154,제재,40
155,발표,40
156,비판,40
157,이재명,40
158,관계,40
159,듯,40
160,김여정,40
161,로,39
162,손학규,39
163,여성,39
164,또,39
165,한미,39
166,사실,39
167,박지원,39
168,김경수,39
169,국민의당,39
170,주장,38
171,계엄,38
172,재,38
173,길,38
174,예술,38
175,통일,38
176,대책,38
177,발의,38
178,영상,38
179,금강산,38
180,공천,38
181,보도,37
182,보고,37
183,특별,37
184,투표,37
185,균,37
186,여당,37
187,요구,37
188,역사,37
189,추미애,37
190,달,36
191,채용,36
192,비리,36
193,달라,36
194,정,36
195,시민,36
196,확인,36
197,협력,36
198,반대,36
199,유해,36
200,개최,36
201,의지,36
202,통합,36
203,상봉,36
204,사건,35
205,회,35
206,완화,35
207,공연,35
208,주도,34
209,주,34
210,살,34
211,중단,34
212,날,34
213,김기식,34
214,위해,33
215,공식,33
216,최,33
217,연락,33
218,사람,33
219,검찰,33
220,다시,33
221,최저임금,33
222,참석,32
223,홍영표,32
224,앞,32
225,문제,32
226,가능성,32
227,올림픽,32
228,지시,31
229,통일부,31
230,통화,31
231,팀,31
232,속보,31
233,원내대표,31
234,처리,31
235,개성,31
236,뜻,31
237,중국,31
238,안보,31
239,핵실험,31
240,비준,31
241,조작,31
242,파견,31
243,방남,30
244,성장,30
245,속,30
246,의,30
247,입장,30
248,임종석,30
249,제도,30
250,후,30
251,방,30
252,미군,30
253,환영,30
254,만난,30
255,폐지,30
256,취재,30
257,송영,30
258,폐기,29
259,이낙연,29
260,이행,29
261,소득,29
262,두,29
263,일정,29
264,삼성,29
265,유엔,29
266,정의용,29
267,지지,29
268,계리,29
269,불,29
270,도,29
271,해결,29
272,체제,29
273,땐,28
274,누구,28
275,갈등,28
276,임명,28
277,재판,28
278,세월호,28
279,현장,28
280,동의,28
281,구성,28
282,출장,28
283,지사,28
284,미투,28
285,시간,27
286,전문,27
287,특위,27
288,진보,27
289,마지막,27
290,선관위,27
291,결정,27
292,강경화,27
293,예정,27
294,댓글,27
295,점검,27
296,안희정,27
297,설,26
298,경찰,26
299,실장,26
300,예산,26
301,법안,26
302,위기,26
303,여사,26
304,내일,26
305,온,26
306,정권,26
307,자,26
308,못,26
309,개월,26
310,특활비,26
311,오후,26
312,계엄령,26
313,약속,25
314,정미,25
315,전략,25
316,부,25
317,강화,25
318,일자리,25
319,출발,25
320,확정,25
321,남북관계,25
322,개선,25
323,사진,25
324,노무현,25
325,해,25
326,그,25
327,팩트,25
328,만찬,25
329,취소,25
330,나,24
331,유치원,24
332,촉구,24
333,대선,24
334,국정,24
335,사무소,24
336,배,24
337,힘,24
338,은,24
339,출범,24
340,올해,24
341,행사,24
342,단체,24
343,파격,24
344,성추행,24
345,통과,24
346,김영남,24
347,경남,24
348,청원,24
349,송환,24
350,개정,23
351,비대,23
352,전쟁,23
353,신임,23
354,국회의원,23
355,직접,23
356,일본,23
357,마련,23
358,기,23
359,번,23
360,입법,23
361,지역,23
362,요청,23
363,감사,23
364,성폭력,23
365,언급,23
366,심재철,23
367,기자,23
368,청년,23
369,현송월,23
370,전원책,22
371,압박,22
372,카드,22
373,리선,22
374,하루,22
375,심상정,22
376,외교부,22
377,장성,22
378,민생,22
379,위안부,22
380,연설,22
381,뉴스,22
382,실,22
383,발,22
384,포함,22
385,책임,22
386,부부,22
387,필요,22
388,오전,22
389,경선,22
390,대구,22
391,선물,21
392,강조,21
393,교체,21
394,북쪽,21
395,혁신,21
396,집,21
397,김정숙,21
398,개편,21
399,협치,21
400,국회의장,21
401,진상,21
402,호,21
403,연합,21
404,고용,21
405,안전,21
406,손,21
407,업무,21
408,이산가족,21
409,이제,21
410,리설주,21
411,핵심,21
412,중재,21
413,규명,21
414,을,21
415,정봉주,21
416,시대,20
417,유출,20
418,판결,20
419,북핵,20
420,불법,20
421,재개,20
422,지지도,20
423,권력,20
424,인,20
425,노,20
426,철도,20
427,기념,20
428,사망,20
429,도전,20
430,급,20
431,규제,20
432,이상,20
433,본회의,20
434,박,20
435,결과,20
436,기관,20
437,유은혜,20
438,귀환,20
439,입,20
440,백두산,20
441,해외,20
442,비서,20
443,김진표,20
444,일화,20
445,평창올림픽,20
446,박용진,19
447,청산,19
448,참여,19
449,방한,19
450,도입,19
451,철수,19
452,동시,19
453,처,19
454,가족,19
455,소통,19
456,관련,19
457,인도,19
458,확대,19
459,인정,19
460,기대,19
461,추천,19
462,초청,19
463,공무원,19
464,찬성,19
465,하태경,19
466,메시지,19
467,가지,19
468,하나,19
469,원장,19
470,오찬,19
471,정치권,19
472,인권,19
473,리용호,19
474,디스,19
475,중앙,19
476,접촉,19
477,선수,19
478,교섭단체,19
479,석,19
480,탈당,19
481,송파,19
482,물,18
483,본격,18
484,김동연,18
485,사령관,18
486,무산,18
487,대응,18
488,피해자,18
489,정보,18
490,처벌,18
491,추가,18
492,기업,18
493,서훈,18
494,농단,18
495,가짜,18
496,효과,18
