,단어명,빈도수
0,명,727
1,전,522
2,포토,496
3,검찰,483
4,경찰,472
5,의혹,353
6,인사,344
7,수사,329
8,서울,302
9,등,293
10,날씨,286
11,제주,285
12,소식,270
13,단독,262
14,재판,260
15,궂긴,259
16,한국,259
17,조사,256
18,도,238
19,첫,235
20,혐의,230
21,법원,225
22,부산,225
23,인천,223
24,알림,217
25,미세먼지,214
26,후보,214
27,안,203
28,여성,201
29,중,197
30,비,195
31,박근혜,192
32,노조,185
33,논란,185
34,위,180
35,전국,178
36,동정,177
37,사건,174
38,구속,172
39,노동자,169
40,의원,167
41,시민,167
42,피해자,165
43,사법,164
44,화재,161
45,삼성,161
46,압수수색,160
47,폭염,160
48,양승태,157
49,성추행,153
50,정부,150
51,징역,149
52,학교,147
53,것,147
54,불법,146
55,세월호,146
56,광주,146
57,피해,146
58,대구,145
59,왜,145
60,오늘,143
61,선거,141
62,곳,141
63,교육,140
64,또,139
65,출석,139
66,검사,137
67,성폭력,135
68,농단,135
69,속,135
70,소환,134
71,사망,134
72,최고,133
73,비리,131
74,구속영장,130
75,대통령,129
76,이재명,129
77,내,129
78,교육감,128
79,교수,128
80,학생,127
81,뒤,127
82,개,126
83,더,125
84,병원,125
85,살,125
86,태풍,124
87,지역,121
88,제,121
89,평화,121
90,거부,120
91,영장,120
92,폭행,120
93,때,119
94,교사,119
95,영상,118
96,유치원,118
97,불,117
98,민주당,117
99,일,116
100,수,114
101,미투,114
102,국정원,113
103,채용,113
104,안희정,113
105,우리,112
106,최,112
107,판사,111
108,경기,111
109,경기도,111
110,심,111
111,드루,110
112,대법원,110
113,추진,108
114,대법,108
115,킹,106
116,새,106
117,최저임금,105
118,성폭행,105
119,울산,104
120,직원,104
121,행정,103
122,차,103
123,판결,102
124,확대,102
125,무죄,101
126,로,101
127,선고,101
128,청와대,101
129,지원,101
130,인정,100
131,법,99
132,지사,99
133,앞,98
134,재,98
135,댓글,98
136,말,97
137,개월,97
138,발견,97
139,김경수,97
140,대학,96
141,남북,96
142,사장,95
143,다시,95
144,인권,95
145,달,94
146,사회,93
147,이,93
148,국민,93
149,주민,93
150,다스,93
151,회장,92
152,낮,92
153,공개,92
154,특검,92
155,실,91
156,한겨레,91
157,현장,91
158,칼럼,91
159,고발,90
160,사고,88
161,처벌,88
162,선,87
163,반대,87
164,나,86
165,시장,86
166,못,85
167,확정,84
168,신청,84
169,단체,84
170,경남,83
171,조작,83
172,이유,82
173,뉴스,82
174,공무원,81
175,대표,81
176,의,80
177,사람,80
178,결정,80
179,시작,80
180,정보,80
181,아이,79
182,청구,79
183,기소,78
184,돈,78
185,서울시,78
186,민주,78
187,난민,78
188,요구,78
189,공원,77
190,사진,77
191,변호사,77
192,정책,76
193,문제,76
194,아파트,76
195,올해,75
196,유출,75
197,문,75
198,소송,75
199,사업,74
200,남성,74
201,노동,74
202,국가,74
203,길,74
204,폐지,74
205,처,74
206,기자,73
207,총장,72
208,이번,72
209,환자,72
210,참여,71
211,내년,71
212,날,71
213,기각,71
214,집,70
215,강제,70
216,인권위,70
217,촬영,69
218,징용,69
219,살해,69
220,경북,69
221,개입,68
222,관,68
223,배,68
224,모두,68
225,중단,68
226,직접,67
227,부,67
228,뇌물,67
229,청년,67
230,듯,67
231,위반,66
232,사실,66
233,추가,66
234,거래,66
235,범,66
236,엄마,65
237,차량,65
238,대책,65
239,건,65
240,마을,65
241,사설,65
242,전남,64
243,살인,64
244,회,63
245,확인,63
246,인,63
247,이상,62
248,그,62
249,공장,62
250,피의자,62
251,센터,62
252,의회,62
253,촉구,62
254,증거,61
255,시민단체,61
256,이명박,61
257,대법관,60
258,물,60
259,정치,60
260,위해,60
261,최대,60
262,자유,60
263,어린이집,59
264,책임,59
265,집회,59
266,업체,59
267,공항,59
268,북한,59
269,운동,59
270,반발,58
271,언론,58
272,사과,58
273,시간,58
274,환경,57
275,금지,57
276,공사,57
277,손,57
278,서울대,57
279,가족,57
280,아들,57
281,출마,57
282,자금,56
283,문건,56
284,회의,56
285,보수,56
286,안전,55
287,보도,55
288,주,55
289,양심,55
290,병역,55
291,가짜,55
292,해,55
293,지방선거,55
294,특활비,55
295,검토,54
296,달라,54
297,구형,54
298,법관,54
299,부인,54
300,청소년,54
301,진보,54
302,군,53
303,집단,53
304,눈,53
305,개혁,53
306,위원장,53
307,참사,53
308,기억,53
309,유죄,52
310,마지막,52
311,노총,52
312,강원,52
313,검,52
314,아침,52
315,주의,52
316,성희롱,52
317,농성,51
318,밤,51
319,북,51
320,간부,51
321,대전,51
322,고속도로,51
323,메르스,51
324,중앙,51
325,두,51
326,세계,51
327,합의,51
328,도입,50
329,심사,50
330,지방,50
331,평창,50
332,원장,50
333,세종,50
334,오전,50
335,일본,50
336,문화,50
337,바람,50
338,강원랜드,50
339,채,50
340,징계,50
341,축제,50
342,위안부,50
343,양진호,49
344,개발,49
345,가장,49
346,운영,49
347,고용,49
348,부장,49
349,기온,49
350,취업,49
351,헌재,49
352,실종,49
353,국민연금,48
354,장관,48
355,역사,48
356,사,48
357,곳곳,48
358,특별,48
359,부상,48
360,초,48
361,선언,48
362,더위,48
363,착수,47
364,전자,47
365,건강,47
366,수도권,47
367,아빠,47
368,계속,47
369,하나,47
370,시,47
371,부산시,47
372,공작,47
373,도시,47
374,기록,47
375,일자리,46
376,전환,46
377,비판,46
378,배상,46
379,김,46
380,관련,46
381,신고,46
382,지시,46
383,기,46
384,검거,46
385,버스,46
386,사단,46
387,처음,45
388,규명,45
389,현직,45
390,교육부,45
391,우려,45
392,의심,45
393,기준,45
394,대응,45
395,폭로,45
396,체포,45
397,알,45
398,진상,45
399,항소심,45
400,병,45
401,눈물,45
402,박원순,45
403,사찰,45
404,임종헌,44
405,감사,44
406,일부,44
407,횡령,44
408,설치,44
409,허위,44
410,교육청,44
411,국제,44
412,충북,44
413,연기,44
414,은,43
415,시대,43
416,이사장,43
417,복지,43
418,호,43
419,사랑,43
420,국내,43
421,번,43
422,방송,43
423,유족,43
424,청탁,43
425,기업,43
426,취소,43
427,관리,43
428,쌍용차,43
429,준,43
430,송치,42
431,후,42
432,연,42
433,침해,42
434,의료,42
435,적발,42
436,설,42
437,돌,42
438,범죄,42
439,발생,42
440,국회,42
441,추모,42
442,시위,42
443,시험,41
444,수능,41
445,포항,41
446,가지,41
447,업무,41
448,입건,41
449,할머니,41
450,해고,41
451,한파,41
452,솔릭,41
453,임금,40
454,줄,40
455,지하철,40
456,호선,40
457,국,40
458,이전,40
459,본격,40
460,인상,40
461,희생,40
462,비상,40
463,문재인,40
464,국정,40
465,조례,39
466,비정규직,39
467,정규직,39
468,죽음,39
469,보고,39
470,과거,39
471,의견,39
472,한반도,39
473,단,39
474,고교,39
475,기사,39
476,이제,39
477,층,39
478,별세,39
479,올림픽,39
480,통일,39
481,일보,39
482,진실,38
483,확산,38
484,대상,38
485,기간,38
486,모든,38
487,목소리,38
488,전직,38
489,딸,38
490,세,38
491,긴급,38
492,하루,38
493,전북,38
494,주장,38
495,기념,38
496,도로,38
497,미래,38
498,봄,38
499,이윤택,38
500,대구시,37
501,힘,37
502,점,37
503,사기,37
504,하늘,37
505,불구속,37
506,혁신,37
507,여명,37
508,가해자,37
509,촛불,37
510,팀,37
511,누구,37
512,하라,37
513,전두환,37
514,이재용,37
515,연휴,37
516,발,36
517,법정,36
518,차별,36
519,예산,36
520,비교,36
521,미국,36
522,오후,36
523,추천,36
524,내일,36
525,제주도,36
526,입,36
527,수당,36
528,도전,36
529,서비스,36
530,위기,36
531,추락,36
532,공천,36
533,향,36
534,보장,35
535,음주운전,35
536,강남,35
537,여자,35
538,핵심,35
539,논의,35
540,시행,35
541,활동,35
542,사립,35
543,삶,35
544,영향,35
545,주의보,35
546,주검,35
547,어디,35
548,특혜,35
549,시설,35
550,아동,35
551,연대,35
552,제천,35
553,폭우,35
554,선거구,35
555,원세훈,34
556,마당,34
557,주기,34
558,철거,34
559,대한항공,34
560,공동,34
561,경제,34
562,노인,34
563,사퇴,34
564,세상,34
565,탓,34
566,방,34
567,판매,34
568,군산,34
569,장애인,34
570,가능,34
571,택시,33
572,특수,33
573,장애,33
574,설립,33
575,청원,33
576,건물,33
577,추정,33
578,투표,33
579,생,33
580,최초,33
581,노,33
582,작업,33
583,의사,33
584,전교조,33
585,지지,33
586,대입,33
587,김훈,33
588,고,32
589,평양,32
590,이름,32
591,공약,32
592,남부,32
593,구,32
594,발언,32
595,상고,32
596,꿈,32
597,요,32
598,고양,32
599,법무부,32
600,이용,32
601,도심,32
602,속보,32
603,실형,32
604,기초,32
605,쪽,32
606,를,32
607,출신,32
608,청장,32
609,구조,32
610,보,32
611,의장,32
612,선생,32
613,의무,31
614,땐,31
615,증가,31
616,개선,31
617,이틀,31
618,굴뚝,31
619,건설,31
620,월,31
621,주택,31
622,과,31
623,남,31
624,벌금,31
625,자전거,31
626,광주시,31
627,강화,31
628,온,31
629,대회,31
630,발표,31
631,갈등,31
632,땅,31
633,권고,31
634,차례,31
635,역,30
636,끝,30
637,회사,30
638,보험,30
639,자,30
640,공론,30
641,결과,30
642,소방,30
643,빼,30
644,유포,30
645,요청,30
646,유해,30
647,철회,30
648,발전,30
649,시도,30
650,당선,30
651,출범,30
652,다른,30
653,소방관,30
654,책,30
655,전쟁,30
656,추석,30
657,재단,30
658,린다,30
659,노동계,29
660,기관,29
661,마음,29
662,교통,29
663,여부,29
664,협박,29
665,예멘,29
666,전면,29
667,폭력,29
668,본사,29
669,광화문,29
670,교차,29
671,남편,29
672,해결,29
673,부정,29
674,바다,29
675,조선,29
676,수업,29
677,개편,29
678,지휘,28
679,점검,28
680,자료,28
681,학부모,28
682,지금,28
683,원인,28
684,행사,28
685,위험,28
686,순간,28
687,정황,28
688,누가,28
689,출근길,28
690,협력,28
691,대화,28
692,어린이,28
693,정당,28
694,가해,28
695,교실,28
696,예술,28
697,노무현,28
698,평창올림픽,28
699,경선,28
700,밀양,28
701,박정희,27
