,단어명,세계빈도수,조선빈도수,한겨레빈도수,총빈도수
6,남북,225,501,380,1106
28,김정은,131,682,263,1076
17,회담,174,494,278,946
0,홍준표,344,266,218,828
2,국회,297,284,209,790
4,민주당,238,222,209,669
9,평화,216,200,218,634
14,선언,190,259,179,628
48,비핵화,94,370,122,586
42,정상회담,102,288,153,543
70,트럼프,77,362,84,523
49,평양,93,230,188,511
115,북한,60,270,181,511
10,김성태,211,183,104,498
19,안철수,171,189,126,486
5,드루,231,171,69,471
3,여야,243,130,82,455
1,민주,306,59,85,450
8,국민,220,125,104,449
44,합의,100,206,130,436
16,선거,179,139,92,410
21,지방선거,163,177,64,404
11,의혹,210,128,64,402
68,판문점,78,180,138,396
22,논란,151,162,77,390
46,장관,99,197,94,390
26,경제,142,166,76,384
20,출마,171,110,90,371
12,이재명,205,121,40,366
7,수사,220,79,67,366
43,논의,102,180,72,354
13,총리,193,108,51,352
24,개헌,146,100,73,319
57,위원장,88,100,128,316
76,한반도,73,153,89,315
75,대화,73,151,89,313
32,북미,121,103,89,313
98,대북,65,176,69,310
37,발언,110,113,59,282
119,정상,57,113,110,280
45,보수,99,105,76,280
15,검찰,182,65,33,280
50,인사,93,138,49,280
429,제재,22,218,40,280
409,속보,23,225,31,279
181,한미,44,196,38,278
29,정책,131,102,43,276
30,지지율,125,81,67,273
51,문제,92,141,32,265
25,조사,142,73,44,259
36,박원순,113,93,50,256
205,자유,41,46,167,254
101,공동,64,112,75,251
163,방북,46,134,68,248
39,문재인,105,51,91,247
55,검토,89,112,46,247
18,박근혜,174,22,50,246
78,방문,72,122,51,245
65,회의,79,108,55,242
35,노회찬,114,34,92,240
40,사퇴,104,86,49,239
82,지원,70,118,49,237
121,우리,57,128,50,235
104,협의,62,110,62,234
111,협상,60,119,45,224
58,정의당,86,39,98,223
261,미국,33,106,81,220
34,국정원,116,61,43,220
71,남북정상회담,76,85,57,218
89,공개,68,95,52,215
206,고위,41,89,84,214
60,유승민,84,83,44,211
154,김영철,48,116,47,211
23,국정,147,37,24,208
73,개혁,75,65,67,207
59,요구,85,83,39,207
61,정당,83,66,56,205
64,사실,80,82,39,201
96,발표,66,93,40,199
87,반대,68,91,38,197
52,통합,92,67,36,195
27,안희정,134,32,27,193
203,외교,42,98,52,192
33,경찰,116,48,26,190
66,서울시장,79,52,59,190
492,통일부,19,137,31,187
88,김문수,68,75,43,186
151,준비,49,96,41,186
38,댓글,108,49,27,184
56,일자리,88,71,25,184
69,성장,77,75,31,183
105,야당,62,60,59,181
376,통일,24,118,39,181
173,조명,45,92,44,181
269,개최,32,112,36,180
53,지사,91,60,28,179
31,재판,123,26,28,177
278,국방,32,102,41,175
83,임종석,70,73,32,175
47,대책,95,42,38,175
130,협력,53,85,37,175
94,최저임금,66,75,33,174
67,정권,79,69,26,174
86,처리,69,70,33,172
84,소득,69,73,30,172
167,보도,46,88,38,172
138,확인,52,84,36,172
109,위해,61,75,33,169
124,국가,56,68,44,168
91,입장,68,69,30,167
99,주도,64,67,35,166
118,가능성,58,74,33,165
85,결정,69,66,28,163
63,사건,81,46,35,162
62,발의,81,40,40,161
100,비판,64,55,42,161
95,손학규,66,56,39,161
113,참석,60,68,32,160
