,단어명,조선일보,한겨레,세계일보,총빈도수
0,수사,428,337,638,1403
1,의혹,405,346,560,1311
3,혐의,347,229,470,1046
10,조사,249,265,512,1026
14,여성,217,204,455,876
16,폭행,210,125,525,860
11,구속,237,186,428,851
15,징역,214,150,463,827
8,재판,251,257,319,827
17,논란,198,186,429,813
9,사건,251,176,361,788
6,법원,296,233,221,750
12,사망,222,133,388,743
7,인사,289,344,85,718
21,성추행,185,152,355,692
13,화재,218,152,307,677
4,날씨,314,285,13,612
46,피해,108,145,337,590
18,압수수색,197,158,233,588
22,성폭행,172,106,295,573
31,병원,139,122,303,564
23,영장,171,117,274,562
20,검사,187,136,229,552
42,불법,111,145,283,539
19,구속영장,189,133,202,524
26,소환,164,133,224,521
62,피해자,90,159,260,509
32,발견,136,97,270,503
27,출석,160,144,192,496
41,미투,117,114,249,480
49,직원,104,102,262,468
79,교사,82,120,260,462
24,전국,171,177,104,452
57,살해,94,72,285,451
124,인천,62,241,142,445
45,교수,109,126,210,445
43,미세먼지,110,209,126,445
35,사고,124,87,234,445
40,무죄,118,100,210,428
2,속보,375,32,14,421
37,살인,123,67,223,413
51,단독,101,257,50,408
38,공개,123,96,188,407
34,댓글,130,99,169,398
30,삼성,139,166,93,398
33,안희정,135,113,149,397
112,박근혜,69,192,133,394
70,비리,87,131,166,384
61,노조,90,185,109,384
28,아이,158,80,144,382
29,판사,146,109,124,379
5,별세,302,49,24,375
87,성폭력,79,134,151,364
55,아파트,96,78,190,364
130,세월호,61,145,155,361
68,이재명,87,129,145,361
114,시민,67,166,122,355
44,선고,110,102,143,355
199,학교,46,146,162,354
182,학생,49,126,177,352
39,변호사,118,77,156,351
73,처벌,85,88,178,351
91,채용,78,114,146,338
93,거부,77,118,141,336
80,남성,82,73,177,332
67,환자,88,72,170,330
170,현장,52,93,184,329
108,국민,70,92,165,327
59,신청,93,82,147,322
50,인정,103,100,118,321
104,검거,71,46,203,320
174,유치원,51,114,155,320
52,최고,100,133,84,317
75,사회,83,91,140,314
88,국정원,79,112,122,313
113,차량,67,64,181,312
90,지원,78,104,128,310
47,청구,105,82,121,308
74,기소,85,84,138,307
145,주민,57,95,154,306
60,아들,91,57,158,306
36,대법원,124,108,72,304
173,공무원,51,79,173,303
53,조작,99,84,120,303
109,문제,69,75,151,295
117,추가,66,65,163,294
64,사람,89,80,124,293
134,사법,59,161,70,290
48,기각,105,75,109,289
63,가족,90,57,141,288
110,단체,69,86,130,285
77,유출,82,74,127,283
65,판결,89,101,91,281
155,신고,55,47,177,279
298,교육,36,136,106,278
72,몰카,86,19,173,278
232,양승태,42,156,77,275
107,고발,70,90,113,273
197,요구,46,82,144,272
100,사장,73,94,103,270
66,소송,89,74,106,269
82,대법,81,111,75,267
105,체포,71,46,147,264
99,실종,73,52,132,257
149,확인,57,64,136,257
131,난민,61,78,117,256
81,모두,82,70,102,254
221,영상,43,114,94,251
92,다스,78,93,80,251
95,남편,76,30,144,250
78,서울시,82,74,91,247
191,농단,48,134,64,246
58,확정,93,83,70,246
154,입건,55,43,147,245
138,엄마,58,64,123,245
678,노동자,19,168,57,244
115,거래,67,65,111,243
1680,일상,6,13,223,242
