,단어명,정치 빈도수,경제 빈도수,사회빈도수,사설빈도수,총빈도수
0,대통령,1433,117,241,154,1945
687,삼성,15,1418,139,12,1584
515,투자,20,1159,27,14,1220
1281,전자,6,927,41,4,978
1292,금융,6,925,20,8,959
828,영업,12,894,14,3,923
31,인사,138,434,289,12,873
1,김정은,682,10,33,114,839
217,시장,44,710,43,17,814
228,사업,41,684,33,17,775
25,경제,166,489,24,67,746
193,경찰,48,17,644,24,733
446,개발,23,644,29,9,705
42,지원,118,495,78,9,700
120,검찰,65,64,550,16,695
2,남북,501,105,29,45,680
1251,증가,6,653,5,3,667
80,중국,84,459,55,55,653
2301,현대,1,627,13,2,643
48,개최,112,353,169,3,637
11,속보,225,23,375,1,624
464,국내,22,536,59,4,621
67,공개,95,373,123,17,608
2454,롯데,1,582,23,1,607
36,의혹,128,54,405,8,595
796,기술,12,533,35,10,590
87,수사,79,36,428,33,576
26,논란,162,202,198,13,575
619,산업,17,500,40,11,568
171,최고,52,396,100,14,562
3,회담,494,23,7,37,561
5,트럼프,362,96,18,68,544
690,사장,15,443,73,5,536
328,해외,31,461,26,8,526
96,조사,73,179,249,19,520
1866,서비스,2,483,28,6,519
91,최저임금,75,362,47,33,517
457,세계,23,385,76,33,517
35,우리,128,188,135,57,508
430,건설,24,457,14,7,502
2192,매출,1,487,6,1,495
237,인상,40,408,27,14,489
1724,칼럼,3,171,5,310,489
90,성장,75,374,13,23,485
586,종합,18,442,20,1,481
489,은행,21,429,15,11,476
1012,아파트,9,357,96,11,473
16,장관,197,176,61,30,464
24,드루,171,6,250,30,457
1350,감소,5,437,9,4,455
305,화폐,34,371,39,10,454
2198,대출,1,443,5,2,451
1202,금감원,7,425,7,7,446
1261,상승,6,434,2,2,444
215,뉴스,44,205,41,154,444
1940,금리,2,438,2,1,443
1197,이익,7,421,9,5,442
219,규제,42,360,15,24,441
57,미국,106,251,39,43,439
209,기자,46,99,48,245,438
447,부동산,23,398,8,4,433
304,가상,34,348,41,8,431
4,비핵화,370,6,6,45,427
213,확대,44,334,38,9,425
100,일자리,71,294,20,38,423
692,주택,15,385,12,10,422
525,거래,20,323,67,12,422
77,협력,85,298,30,7,420
108,단독,69,242,101,1,413
8,북한,270,50,41,52,413
789,규모,12,358,32,5,407
176,하나,51,259,62,35,407
500,목표,21,374,8,3,406
38,국민,125,151,70,59,405
632,공장,17,328,49,7,401
60,정책,102,192,55,51,400
306,하락,33,359,1,2,395
276,강화,36,329,23,2,390
1849,글로벌,3,371,8,6,388
6,정상회담,288,39,9,51,387
670,수출,15,355,5,9,384
192,혁신,48,299,21,15,383
7,국회,284,48,38,11,381
1873,증시,2,373,1,1,377
926,채용,10,281,78,7,376
959,게임,10,332,21,11,374
116,결정,66,231,62,14,373
440,직원,24,239,104,4,371
311,작년,33,303,33,1,370
296,공사,34,275,44,8,361
701,노조,14,228,90,28,360
723,전국,14,171,171,4,360
315,대상,33,281,37,6,357
790,공급,12,332,6,1,351
766,병원,13,193,139,3,348
14,합의,206,98,29,15,348
49,검토,112,188,37,10,347
29,문제,141,106,69,27,343
45,발언,113,55,38,135,341
1184,별세,7,31,302,1,341
423,사회,24,200,83,33,340
409,도입,25,283,21,6,335
1584,업체,4,279,45,7,335
1019,법원,9,23,296,2,330
89,위해,75,191,52,11,329
325,여성,32,68,217,9,326
816,화재,12,91,218,4,325
142,고용,57,203,41,24,325
163,추가,53,202,66,3,324
9,선언,259,28,11,25,323
210,사건,46,14,251,11,322
162,우려,53,220,34,13,320
1579,경영,4,296,14,6,320
69,발표,93,171,40,8,312
666,연속,15,276,17,2,310
13,제재,218,56,3,32,309
1835,보험,3,277,19,6,305
530,관리,20,237,37,9,303
17,한미,196,92,7,7,302
20,논의,180,95,16,10,301
1427,가구,5,268,24,3,300
732,검사,14,92,187,4,297
877,생산,11,271,9,4,295
392,재판,26,5,251,12,294
592,구속,18,32,237,4,291
285,원전,34,205,15,37,291
639,돌파,16,253,18,2,289
151,사람,55,63,89,81,288
97,소득,73,175,16,23,287
2114,가격,2,279,3,2,286
376,사고,28,120,124,13,285
293,시대,34,188,31,32,285
2195,반도체,1,262,9,11,283
56,김경수,108,1,168,6,283
222,이상,42,192,38,11,283
47,공동,112,141,24,6,283
547,사망,19,38,222,3,282
10,평양,230,11,20,19,280
155,펀드,55,218,4,2,279
41,협상,119,128,8,24,279
448,신임,23,222,30,2,277
232,개선,41,220,13,3,277
1198,네이버,7,245,21,4,277
270,지역,37,198,32,9,276
379,피해,27,132,108,8,275
2377,업계,1,261,10,2,274
2366,치료,1,232,39,2,274
50,중단,110,104,46,13,273
557,강남,19,197,54,3,273
382,전환,27,224,17,3,271
159,카드,54,185,21,11,271
2211,분양,1,265,3,2,271
37,평창,127,60,58,23,268
199,김동연,47,211,5,4,267
1332,계약,5,246,13,2,266
299,경기,34,185,39,3,261
62,위원장,100,106,44,11,261
2018,부회장,2,241,15,3,261
1619,최초,4,206,42,1,253
1426,지난해,5,243,4,1,253
1048,사상,8,201,38,6,253
12,민주당,222,5,18,8,253
533,센터,20,187,42,3,252
343,국제,30,160,56,6,252
321,일본,32,143,58,19,252
2364,진출,1,239,10,1,251
111,국가,68,104,55,22,249
865,교수,11,125,109,3,248
15,평화,200,9,15,23,247
272,정보,36,164,40,7,247
147,관련,56,134,54,2,246
411,국민연금,25,175,30,14,244
55,회의,108,87,37,11,243
676,폭행,15,12,210,6,243
1451,아이,5,71,158,9,243
583,서울시,18,135,82,8,243
544,영향,19,182,39,1,241
18,훈련,186,8,24,21,239
112,행사,68,137,28,5,238
498,압수수색,21,16,197,4,238
289,위기,34,142,36,24,236
93,가능성,74,124,35,3,236
146,확정,56,86,93,1,236
300,안전,34,150,37,12,233
1004,체결,9,218,4,1,232
1424,코리아,5,193,17,16,231
81,확인,84,83,57,7,231
66,준비,96,91,31,12,230
27,한반도,153,15,36,26,230
352,전쟁,30,147,28,24,229
28,대화,151,39,12,27,229
1536,징역,4,6,214,5,229
23,대북,176,16,8,29,229
809,자금,12,165,50,2,229
1590,수주,4,222,2,1,229
148,전문,55,98,29,46,228
84,요구,83,92,46,6,227
188,가능,49,150,27,1,227
2115,상반기,2,221,3,1,227
194,방송,48,65,97,16,226
1239,에너지,6,204,14,1,225
30,선거,139,37,23,25,224
39,방문,122,77,19,6,224
1358,주식,5,198,19,2,224
746,무역,13,194,3,13,223
243,교육,40,122,36,25,223
68,전문가,93,80,30,18,221
236,현장,40,119,52,10,221
331,기관,31,156,25,7,219
221,대책,42,132,26,18,218
499,청년,21,156,31,9,217
388,성추행,27,3,185,2,217
22,지방선거,177,16,14,9,216
760,역대,13,164,32,5,214
1613,포스코,4,197,7,6,214
191,댓글,49,19,130,16,214
1154,회사,7,169,37,1,214
242,이후,40,131,32,10,213
239,모두,40,82,82,9,213
72,반대,91,70,45,7,213
922,신청,10,108,93,1,212
40,이재명,121,1,87,1,210
459,비리,23,87,87,11,208
19,김성태,183,3,21,1,208
400,불법,26,60,111,10,207
720,문화,14,79,57,57,207
847,전망,11,185,8,3,207
85,사실,82,62,53,9,206
1931,체인,2,197,6,1,206
1930,블록,2,195,6,2,205
987,시스템,9,180,11,4,204
51,협의,110,70,21,1,202
896,재건축,11,180,8,3,202
1293,폭염,6,85,102,8,201
928,적용,10,163,25,3,201
1253,공정위,6,172,22,1,201
455,효과,23,149,18,10,200
559,베트남,19,154,23,4,200
537,대비,19,166,8,7,200
685,유럽,15,159,14,11,199
1965,외국인,2,165,25,7,199
776,미세먼지,13,72,110,4,199
309,사용,33,122,30,14,199
1131,대기업,7,170,12,10,199
58,보수,105,44,30,18,197
126,전략,62,109,12,13,196
158,완화,54,125,5,12,196
1762,구속영장,3,2,189,1,195
1200,광고,7,163,22,3,195
474,업무,22,145,26,2,195
2133,생명,2,172,17,3,194
1058,발견,8,45,136,5,194
229,계획,41,129,21,3,194
21,판문점,180,1,4,8,193
437,본격,24,152,16,1,193
201,대응,46,95,41,10,192
196,호텔,48,119,20,5,192
531,지금,20,57,96,17,190
383,운영,27,134,25,3,189
363,조선,29,137,18,5,189
169,고발,53,64,70,2,189
145,필요,56,97,29,6,188
398,국감,26,153,8,1,188
358,조작,29,48,99,10,186
982,한마디,9,7,7,162,185
487,실시,21,153,9,2,185
1309,포럼,6,129,46,1,182
99,조치,73,64,36,9,182
1106,의료,8,127,43,4,182
302,통신,34,141,3,3,181
1689,협회,3,139,38,1,181
186,시간,49,83,38,10,180
124,계속,62,61,42,14,179
182,출신,50,60,58,11,179
2380,단지,1,163,10,4,178
541,부담,19,144,14,1,178
2409,매각,1,174,1,2,178
160,책임,53,63,56,5,177
150,특별,55,73,35,13,176
843,건강,11,124,39,2,176
295,발전,34,125,16,1,176
247,인정,39,31,103,3,176
179,단체,51,40,69,15,175
230,기대,41,124,5,5,175
234,성공,41,118,12,4,175
324,안희정,32,2,135,6,175
1249,연구,6,136,30,2,174
115,통합,67,99,6,2,174
113,주도,67,80,10,17,174
697,경쟁,15,138,11,9,173
118,개혁,65,61,24,23,173
