,단어명,정치 빈도수
0,대통령,1433
1,김정은,682
2,남북,501
3,회담,494
4,비핵화,370
5,트럼프,362
6,정상회담,288
7,국회,284
8,북한,270
9,홍준표,266
10,선언,259
11,평양,230
12,속보,225
13,민주당,222
14,제재,218
15,합의,206
16,평화,200
17,장관,197
18,한미,196
19,안철수,189
20,훈련,186
21,김성태,183
22,논의,180
23,판문점,180
24,지방선거,177
25,대북,176
26,드루,171
27,경제,166
28,논란,162
29,한반도,153
30,대화,151
31,문제,141
32,선거,139
33,인사,138
34,통일부,137
35,청와대,134
36,방북,134
37,폼페이,131
38,여야,130
39,우리,128
40,의혹,128
41,평창,127
42,국민,125
43,특검,125
44,방문,122
45,이재명,121
46,협상,119
47,지원,118
48,통일,118
49,김영철,116
50,국방부,115
51,발언,113
52,정상,113
53,공동,112
54,개최,112
55,검토,112
56,중단,110
57,협의,110
58,이해찬,110
59,출마,110
60,군사,108
61,김병준,108
62,총리,108
63,회의,108
64,김경수,108
65,미국,106
66,보수,105
67,미군,104
68,북미,103
69,정책,102
70,강경화,102
71,국방,102
72,위원장,100
73,개헌,100
74,북핵,99
75,외교,98
76,외교부,97
77,싱가포르,96
78,준비,96
79,공개,95
80,전문가,93
81,발표,93
82,박원순,93
83,조명,92
84,반대,91
85,고위,89
86,폐기,89
87,보도,88
88,사퇴,86
89,협력,85
90,남북정상회담,85
91,김기식,85
92,중국,84
93,확인,84
94,특사,84
95,개헌안,84
96,요구,83
97,기무사,83
98,유승민,83
99,사실,82
100,지지율,81
101,수사,79
102,종전,77
103,위해,75
104,성장,75
105,최저임금,75
106,김문수,75
107,압박,74
108,가능성,74
109,안보,74
110,취소,74
111,조사,73
112,소득,73
113,임종석,73
114,조치,73
115,일자리,71
116,실무,71
117,추미애,71
118,처리,70
119,석탄,70
120,입장,69
121,인권,69
122,정권,69
123,정의용,69
124,단독,69
125,참석,68
126,주간조선,68
127,국가,68
128,행사,68
129,주도,67
130,유엔,67
131,통합,67
132,정당,66
133,결정,66
134,김여정,66
135,개혁,65
136,매체,65
137,재개,65
138,검찰,65
139,연합,64
140,언급,64
141,도착,63
142,문건,63
143,보고,63
144,선관위,63
145,계속,62
146,시진핑,62
147,전략,62
148,공연,61
149,지지,61
150,일정,61
151,예술,61
152,국정원,61
153,수석,60
154,야당,60
155,핵실험,60
156,철수,60
157,비준,60
158,동참,60
159,지사,60
160,올림픽,59
161,민주,59
162,일화,59
163,요청,58
164,연락,58
165,경남,58
166,사과,57
167,계리,57
168,고용,57
169,점검,57
170,나눔,57
171,손학규,56
172,필요,56
173,천안함,56
174,확정,56
175,관련,56
176,공천,56
177,전문,55
178,장하,55
179,특별,55
180,사람,55
181,비판,55
182,통화,55
183,볼턴,55
184,투표,55
185,펀드,55
186,현송월,55
187,예산,54
188,완화,54
189,카드,54
190,교육감,54
191,책임,53
192,대사,53
193,우려,53
194,추가,53
195,제안,53
196,철도,53
197,비서,53
198,사무소,53
199,결과,53
200,고발,53
201,임명,52
202,최고,52
203,구성,52
204,파견,52
205,접촉,52
206,서울시장,52
207,연기,51
208,하나,51
209,공식,51
210,환영,51
211,단체,51
212,문재인,51
213,평창올림픽,51
214,출신,50
215,실장,50
216,개성,50
217,언론,50
218,송영,50
219,시간,49
220,사령관,49
221,위반,49
222,가능,49
223,면담,49
224,유해,49
225,후보자,49
226,진단,49
227,댓글,49
228,혁신,48
229,경찰,48
230,방송,48
231,해결,48
232,호텔,48
233,열병,48
234,적폐,48
235,출구조사,48
236,김동연,47
237,주장,47
238,대응,46
239,생각,46
240,거부,46
241,차관,46
242,의지,46
243,자유,46
244,아베,46
245,여당,46
246,기자,46
247,사건,46
248,하라,45
249,폐지,45
250,이낙연,44
251,확대,44
252,진전,44
253,관계,44
254,뉴스,44
255,만찬,44
256,시장,44
257,문정인,43
258,장성,43
259,규제,42
260,홍영표,42
261,계엄,42
262,안해,42
263,대책,42
264,이상,42
265,탈북,42
266,상봉,42
267,송환,42
268,미사일,41
269,금지,41
270,사업,41
271,계획,41
272,기대,41
273,모든,41
274,개선,41
275,역사,41
276,본회의,41
277,성공,41
278,종업원,41
279,사전투표,41
280,현장,40
281,포함,40
282,인상,40
283,금강산,40
284,모두,40
285,시설,40
286,발의,40
287,이후,40
288,교육,40
289,체제,40
290,유세,40
291,남경필,40
292,공약,40
293,국민의당,40
294,정의당,39
295,인정,39
296,노력,39
297,격동,39
298,방남,38
299,통해,38
300,동맹,38
301,과거,38
302,포기,38
303,상황,38
304,러시아,38
305,법안,38
306,청산,38
307,권력,38
308,백악관,38
309,검증,37
310,조국,37
311,나라,37
312,동의,37
313,이행,37
314,공세,37
315,국정,37
316,연설,37
317,위안부,37
318,핵심,37
319,서해,37
320,이산가족,37
321,지역,37
322,통과,37
323,정보,36
324,실패,36
325,내달,36
326,무산,36
327,수도,36
328,강화,36
329,방한,36
330,노무현,36
331,질문,36
332,출발,36
333,약속,36
334,비난,35
335,지시,35
336,예정,35
337,남북관계,35
338,대선,35
339,원내대표,35
340,박지원,35
341,청원,35
342,원전,34
343,위원,34
344,교체,34
345,전달,34
346,위기,34
347,여사,34
348,방안,34
349,다음,34
350,시대,34
351,소통,34
352,발전,34
353,공사,34
354,초청,34
355,수용,34
356,경기,34
357,안전,34
358,참가,34
359,유은혜,34
360,통신,34
361,당선,34
362,노회찬,34
363,가상,34
364,화폐,34
365,헌법,33
366,하락,33
367,활동,33
368,유감,33
369,사용,33
370,진행,33
371,사드,33
372,작년,33
373,장소,33
374,공무원,33
375,취재,33
376,메시지,33
377,대상,33
378,국회의원,33
379,펜스,32
380,갈등,32
381,총선,32
382,위협,32
383,신고,32
384,일본,32
385,시민,32
386,탈당,32
387,비용,32
388,안희정,32
389,여성,32
390,서훈,32
391,당선자,32
392,강행,31
393,원희룡,31
394,해체,31
395,조율,31
396,해외,31
397,기념,31
398,촉구,31
399,교류,31
400,심재철,31
401,기관,31
402,성과,30
403,선물,30
404,세력,30
405,채택,30
406,의장,30
407,통보,30
408,방위,30
409,개정,30
410,강조,30
411,간다,30
412,제출,30
413,일부,30
414,취임,30
