,단어명,빈도수
0,삼성,335
1,전자,165
2,금융,148
3,투자,141
4,주택,131
5,단독,126
6,대출,122
7,경제,116
8,지원,111
9,증가,101
10,사회,100
11,현대차,100
12,은행,95
13,금리,89
14,성장,89
15,고용,88
16,산업,88
17,논란,86
18,인상,84
19,채용,84
20,중소기업,83
21,국내,81
22,일자리,80
23,시장,79
24,미국,79
25,수출,79
26,아파트,77
27,출시,77
28,현대,76
29,소득,76
30,가상,76
31,청년,75
32,공개,73
33,확대,72
34,중국,72
35,최저임금,71
36,서비스,71
37,최고,68
38,포스코,68
39,영업,67
40,스마트폰,67
41,사업,67
42,김동연,67
43,네이버,66
44,조사,66
45,규제,65
46,경영,65
47,그룹,64
48,기술,63
49,협력,63
50,거래,62
51,통화,62
52,카카오,61
53,업체,60
54,개발,59
55,혁신,59
56,공정위,59
57,세계,58
58,재벌,58
59,사장,58
60,이익,57
61,금감원,57
62,대기업,54
63,노조,54
64,바이오,53
65,주식,53
66,지난해,53
67,이재용,52
68,정보,51
69,자동차,50
70,감소,49
71,직원,48
72,생산,47
73,정책,47
74,관세,46
75,롯데,46
76,사상,46
77,공장,46
78,임대,46
79,업계,45
80,강화,45
81,경기,44
82,판매,44
83,전망,43
84,뉴스,43
85,취업,43
86,대한항공,43
87,대책,43
88,도입,43
89,보험,43
90,부회장,43
91,증권,43
92,검토,43
93,해외,42
94,지역,42
95,개혁,42
96,가격,42
97,협상,42
98,가능,42
99,비리,42
100,이상,42
101,무역,41
102,집값,41
103,공사,41
104,하나,41
105,임금,40
106,기아차,40
107,지능,40
108,전환,39
109,부동산,39
110,남북,39
111,인터넷,39
112,타이어,39
113,의혹,38
114,추가,38
115,안전,38
116,금호,38
117,철강,38
118,현장,38
119,개선,37
120,매출,37
121,공급,37
122,반도체,37
123,개편,37
124,체인,37
125,장관,36
126,원전,36
127,영향,36
128,인공,36
129,사고,36
130,국토부,36
131,블록,35
132,건설,34
133,인하,34
134,평균,34
135,화폐,34
136,요구,33
137,강남,33
138,상승,33
139,코스피,33
140,위기,33
141,주주,33
142,제한,33
143,하락,32
144,자율,32
145,에너지,32
146,대상,32
147,트럼프,32
148,우려,32
149,총수,32
150,거래소,32
151,아시아나,32
152,분양,31
153,자금,31
154,과징금,31
155,작년,31
156,책임,31
157,신청,31
158,돌파,31
159,전국,31
160,카드,31
161,가구,31
162,매각,30
163,연속,30
164,우리,30
165,완화,30
166,국제,30
167,결제,30
168,출범,30
169,회사,30
170,재정,30
171,관리,30
172,창업,30
173,시대,30
174,금제,30
175,조양호,30
176,효과,29
177,제재,29
178,증시,29
179,최저,29
180,국민연금,29
181,할인,29
182,한화,29
183,인수,28
184,주행,28
185,가계,28
186,상생,28
187,발표,28
188,피해,28
189,광고,28
190,연금,27
191,선임,27
192,세금,27
193,일가,27
194,경쟁,27
195,문재인,27
196,물가,27
197,위원장,27
198,급증,27
199,개인정보,27
200,주도,26
201,논의,26
202,여성,26
203,스마트,26
204,금지,26
205,선정,26
206,주가,26
207,사람,26
208,종부세,26
209,법인,26
210,참여,26
211,역대,26
212,고객,26
213,소비자,26
214,북한,26
215,중단,26
216,지엠,26
217,신규,26
218,최초,25
219,지배구조,25
220,한전,25
221,상반기,25
222,모바일,25
223,전기차,25
224,문제,25
225,국민,25
226,요금,25
