,단어명,빈도수
0,남북,380
1,회담,278
2,김정은,263
3,평화,218
4,홍준표,218
5,국회,209
6,민주당,209
7,평양,188
8,북한,181
9,선언,179
10,자유,167
11,정상회담,153
12,판문점,138
13,합의,130
14,위원장,128
15,안철수,126
16,비핵화,122
17,정상,110
18,김성태,104
19,국민,104
20,정의당,98
21,장관,94
22,선거,92
23,기무사,92
24,노회찬,92
25,문재인,91
26,출마,90
27,한반도,89
28,북미,89
29,대화,89
30,민주,85
31,고위,84
32,트럼프,84
33,여야,82
34,미국,81
35,평창,79
36,논란,77
37,보수,76
38,경제,76
39,공동,75
40,개헌,73
41,논의,72
42,특사,70
43,대북,69
44,드루,69
45,방북,68
46,개혁,67
47,수사,67
48,지지율,67
49,이해찬,65
50,의혹,64
51,지방선거,64
52,협의,62
53,야당,59
54,발언,59
55,서울시장,59
56,남북정상회담,57
57,정당,56
58,회의,55
59,단독,54
60,공개,52
61,외교,52
62,총리,51
63,방문,51
64,종전,51
65,군사,50
66,박근혜,50
67,박원순,50
68,우리,50
69,훈련,50
70,특검,50
71,지원,49
72,김병준,49
73,인사,49
74,사퇴,49
75,남쪽,48
76,문건,47
77,김영철,47
78,제안,46
79,검토,46
80,협상,45
81,도착,45
82,조명,44
83,위원,44
84,조사,44
85,국가,44
86,최고,44
87,유승민,44
88,개헌안,44
89,국정원,43
90,정책,43
91,김문수,43
92,비판,42
93,싱가포르,42
94,폼페이,42
95,여성,41
96,국방부,41
97,국방,41
98,준비,41
99,사과,40
100,실무,40
101,제재,40
102,발표,40
103,이재명,40
104,관계,40
105,박지원,40
106,발의,40
107,김여정,40
108,통일,39
109,영상,39
110,손학규,39
111,요구,39
112,사실,39
113,김경수,39
114,국민의당,39
115,반대,38
116,보도,38
117,주장,38
118,계엄,38
119,예술,38
120,한미,38
121,대책,38
122,금강산,38
123,공천,38
124,채용,37
125,비리,37
126,협력,37
127,보고,37
128,특별,37
129,투표,37
130,여당,37
131,역사,37
132,추미애,37
133,시민,36
134,확인,36
135,유해,36
136,개최,36
137,의지,36
138,통합,36
139,상봉,36
140,주도,35
141,사건,35
142,완화,35
143,공연,35
144,홍영표,34
