,단어명,빈도수
0,검찰,485
1,경찰,466
2,의혹,346
3,인사,344
4,수사,337
5,날씨,285
6,조사,265
7,재판,257
8,단독,257
9,인천,241
10,법원,233
11,혐의,229
12,미세먼지,209
13,여성,204
14,박근혜,192
15,논란,186
16,구속,186
17,노조,185
18,동정,179
19,전국,177
20,사건,176
21,노동자,168
22,시민,166
23,삼성,166
24,사법,161
25,폭염,161
26,피해자,159
27,압수수색,158
28,양승태,156
29,화재,152
30,성추행,152
31,징역,150
32,학교,146
33,불법,145
34,세월호,145
35,피해,145
36,출석,144
37,선거,137
38,교육,136
39,검사,136
40,농단,134
41,성폭력,134
42,구속영장,133
43,소환,133
44,사망,133
45,최고,133
46,비리,131
47,이재명,129
48,학생,126
49,교수,126
50,교육감,126
51,폭행,125
52,태풍,124
53,평화,123
54,병원,122
55,지역,121
56,교사,120
57,거부,118
58,경기,117
59,영장,117
60,민주당,117
61,드루,115
62,유치원,114
63,경기도,114
64,채용,114
65,영상,114
66,미투,114
67,안희정,113
68,국정원,112
69,대법,111
70,우리,111
71,판사,109
72,대법원,108
73,성폭행,106
74,최저임금,104
75,지원,104
76,지사,102
77,선고,102
78,직원,102
79,행정,102
80,확대,101
81,판결,101
82,무죄,100
83,인정,100
84,댓글,99
85,발견,97
86,김경수,97
87,공개,96
88,주민,95
89,남북,95
90,특검,94
91,대학,94
92,사장,94
93,현장,93
94,다스,93
95,인권,92
96,국민,92
97,한겨레,92
98,사회,91
99,칼럼,91
100,고발,90
101,처벌,88
102,사고,87
103,반대,87
104,단체,86
105,기소,84
106,조작,84
107,뉴스,83
108,확정,83
109,시장,83
110,경남,83
111,청구,82
112,신청,82
113,요구,82
114,민주,80
115,사람,80
116,아이,80
117,정보,80
118,공무원,79
119,결정,79
120,아파트,78
121,난민,78
122,변호사,77
123,폐지,76
124,정책,76
125,문제,75
126,노동,75
127,공원,75
128,기각,75
129,기자,74
130,서울시,74
131,유출,74
132,소송,74
133,남성,73
134,사업,73
135,국가,73
136,살해,72
137,인권위,72
138,환자,72
139,모두,70
140,참여,69
141,경북,69
142,강제,68
143,총장,68
144,징용,68
145,중단,68
146,살인,67
147,촬영,67
148,위반,66
149,뇌물,66
150,청년,66
151,촉구,65
152,피의자,65
153,개입,65
154,추가,65
155,거래,65
156,마을,65
157,사설,65
158,차량,64
159,자유,64
160,확인,64
161,엄마,64
162,사실,64
163,대책,64
164,센터,63
165,의회,63
166,전남,63
167,업체,62
168,이명박,62
169,북한,61
170,이상,61
171,공장,61
172,시민단체,61
173,책임,60
174,집회,60
175,반발,59
176,대법관,59
177,언론,59
178,증거,59
179,위해,59
180,공항,59
181,운동,59
182,시간,59
183,공사,58
184,사과,58
185,회의,57
186,보수,57
187,어린이집,57
188,문건,57
189,서울대,57
190,가족,57
191,아들,57
192,출마,57
193,법관,56
194,가짜,56
195,집단,56
196,보도,55
197,금지,55
198,환경,55
199,자금,55
200,양심,55
201,병역,55
202,지방선거,55
203,특활비,55
204,위원장,54
205,구형,54
206,부인,54
207,청소년,54
208,진보,54
