,Title,Date,count
0,직장 상사 갑질로 인해 죽고 싶어요,18.11.15,8명
1,택시생존권을 보장해주세요.카카오 카풀영업을 방관하지마세요.,18.11.15,39명
2,악성 고객으로 부터 저희를 지킬 수 있게 도와주세요,18.11.15,16명
3,고졸 특채  제고해주세요,18.11.15,4명
4,코이카 해외자문관의 문제점,18.11.15,0명
5,공공기관 장애인 근로자 평가후 무기계약직 전환 시켜 달라.,18.11.15,2명
6,공공기관 (공단 공사등)채용 비리 잡아주시죠,18.11.15,19명
7,수출입은행의 썩어문드러진 운영! 왜 방치하는가?,18.11.15,1명
8,일자리,18.11.15,8명
9,"죽고   싶은   대한민국,  자살   공화국    대한민국,   인권위는   필요없다!    '국가   생존권   위원회'를    신설하라!",18.11.15,13명
10,서희건설,18.11.15,3명
11,알바  시급  하고  월급  을   제대로 주는   대기업하고  중소기업   상인들 알바 주는 거 신고 합니다,18.11.15,2명
12,경제난과 실업난을 동시에 해결하자,18.11.15,0명
13,채용 비리 근절해주세요,18.11.15,13명
14,서욹교통공사 정규직  전환 비리 강원랜드보다 죄질이 더하다.,18.11.15,16명
15,꼭한번 봐주세요,18.11.15,1명
16,자폐할당제를 마련해주세요,18.11.15,0명
17,공공기관 비정규직 정규직전환 퇴출시켜주세요,18.11.15,25명
18,65세에서70세까지 장년근로자에게 고용보험과 실업급여 해택요망,18.11.15,6명
19,공직자 퇴직후 공공기관 및 대기업 재취업을 막아주세요,18.11.15,9명
20,"정년퇴직자 공공기관, 공공단체 임원으로의  임명 제한을 통한 일자리 증진",18.11.15,2명
21,최저임금 그만 올려라 나라 망한다,18.11.15,7명
22,"우리 자녀들, 친구들, 지인들 모두 임금체불없는 회사, 건강한 사회에서 일할 수 있길 바랍니다.",18.11.15,64명
23,공평한 기회와 성공의 가능성(연구사),18.11.15,0명
24,"공무원 인터넷 강의 폭리, 강의 하나가 50만원 , 교재는 5만원 참여인원",18.11.15,6명
25,9급도 한국사 시험을 한국사능력검정시험으로 대체해야 합니다.,18.11.15,2명
26,"반려동물 2천만시대, 수의대 입학정원 늘려야",18.11.15,9명
27,연 1만명 규모로   방송대 로스쿨 설치를 청원합니다.,18.11.15,4명
28,약대 입학정원을 연 5천명 수준으로,18.11.15,5명
29,세계를 선도할 의사 약사 치과의사 100만명 양성해야,18.11.15,3명
30,한달에 1억 벌기는 문제도 아니라는 수의사들,18.11.15,9명
31,"평균연봉 8200만원, 세금으로 월급받는 공기업임금 삭감해야",18.11.15,23명
32,최저임금  정하는곳 국회로,18.11.15,0명
33,교사도 1호봉부터 시작해야,18.11.15,14명
34,"약대입학정원 일본 13,000명 VS 한국 1,600명",18.11.15,5명
35,"의사단체 눈치보지 말고, 의대 입학 정원을 늘리세요.  이미 늦었습니다.",18.11.15,16명
36,"국민은  일자리가    없어   난리인데,   각종   낙하산에   의원   보좌관    관공서    편법취업까지,   아주    지들끼리   살판났구만!",18.11.15,23명
37,성장동력 투자 제안,18.11.15,1명
38,"제주   '예멘   난민'   마약   밀반입   우려,    칼   빼든   관세당국!    이래도    난민을    받고    외국인을    받아야    하는가!",18.11.15,25명
39,정규직 전환 대상에 대해서문의드립니다,18.11.15,2명
40,'무고죄' 처벌 기본 벌금을 5억으로 정해주세요,18.11.15,53명
41,의원 나부랭이들아 차별임금이 아닌 임금인하가 답이다,18.11.15,4명
42,시각장애인 안마사 자격증 발급관련 입니다,18.11.15,3명
43,"5,000년  역사상   유례없는   다문화,  난민,  외노자   유입    정책에    대해    국민의    '동의'를    구하라!",18.11.15,20명
44,인천북부고용센터 성공패키지 직원들 징계요청드립니다.,18.11.15,6명
45,현대판 음서제도 ★ 미군부대 취업비리 ★ 꼭 밝혀주세요.,18.11.15,5명
46,"사람인,잡코리아 등 구인구직 강제 연봉기재를 청원합니다.",18.11.15,5명
47,황당한 대출 규제 방법이 이것 뿐인가 싶네요,18.11.15,5명
48,기업의    줄도산이   속출하니까    이제서야    외노자를   극히   제한적으로    받는    일본!   일본을    본받아야    합니다!,18.11.15,9명
49,전국 공공도서관 열람실(자습실) 연중무휴 개방 요청,18.11.15,28명
50,의사 수 부족하여 대리수술한다니   의대정원 늘려주세요,18.11.15,9명
51,"정부 ""공공기관 인턴 5천명 추가 채용 , 제발 철회해주세요",18.11.15,12명
52,연 1만명 규모로   방송대 로스쿨 설치를 청원합니다.,18.11.15,2명
53,실업급여 못받게 하는 조합장,18.11.15,6명
54,"영양사vs영양교사, 상담사vs상담교사, 간호사vs간호교사",18.11.15,3명
55,공매도는 주식 갑질~,18.11.15,19명
56,공공기관의 자회사,18.11.15,3명
57,9급도 한국사시험을 한국사능력검정시험으로 대체해야,18.11.15,2명
58,세계를 선도할 의사 약사 치과의사 100만명 양성해야,18.11.15,4명
59,실업자,18.11.15,4명
60,"신규간호사 10만명 양성, 의사도 10만명 양성해야",18.11.15,7명
61,"약대입학정원 일본 13,000명 VS 한국 1,600명",18.11.15,3명
62,"악덕업체, 갑질 회사를 고발합니다.",18.11.15,4명
63,주5일도 부족한 프리랜서입니다 휴일예비군 훈련을 늘려주세요,18.11.15,2명
64,공무원 공공기관 일자리 증원 반대 합니다.  경제 정책 잘못됐습니다.,18.11.15,19명
65,외국인 고용노동법에 대해,18.11.15,3명
66,공공기관 채용,18.11.15,13명
67,삼성의 일자리 확대 뉴스? 협력사는 그냥 나가라고하면 끝입니다....협력사는 어쩌나요?,18.11.15,4명
68,중소기업 연차 반드시 사용할 수 있도록 법으로 개정 부탁 드립니다.,18.11.15,5명
