,단어명,빈도수
0,삼성,114
1,브리핑,70
2,금융,70
3,코노,69
4,톡톡,69
5,일상,68
6,김동연,52
7,출시,50
8,지원,49
9,그룹,47
10,혁신,45
11,경제,45
12,고용,44
13,증가,42
14,농협,42
15,일자리,41
16,대출,41
17,채용,40
18,개최,40
19,인상,38
20,시장,37
21,수출,37
22,플러스,37
23,개발,36
24,사업,35
25,전자,34
26,공개,34
27,소득,34
28,증권,34
29,투자,33
30,성장,32
31,금감원,32
32,김현주,31
33,산업,31
34,청년,31
35,금리,30
36,논란,30
37,최고,30
38,국내,29
39,기술,28
40,대한항공,28
41,공정위,27
42,관리,27
43,의혹,27
44,해외,27
45,중소기업,27
46,직원,26
47,현대,26
48,최저임금,26
49,롯데,25
50,확대,25
51,한진,25
52,노조,25
53,총수,24
54,판매,24
55,세계,24
56,업계,23
57,주택,23
58,은행,23
59,드론,23
60,법정관리,23
61,조현민,22
62,관세,22
63,압수수색,22
64,강화,22
65,진행,22
66,비리,22
67,경영,21
68,업체,21
69,규제,21
70,서비스,21
71,지역,21
72,가격,21
73,창업,20
74,혐의,20
75,현대차,20
76,협력,20
77,생산,19
78,김상조,19
79,포스코,19
80,주식,19
81,실시,19
82,필요,19
83,개선,18
84,위기,18
85,평균,18
86,가계,18
87,국민연금,18
88,합의,18
89,대기업,18
90,중국,17
91,화폐,17
92,현장,17
93,조사,17
94,건강,17
95,사태,17
96,시스템,17
97,노사,17
98,구본무,17
99,시대,16
100,무역,16
101,공장,16
102,역대,16
103,이상,16
104,이재용,16
105,진에어,15
106,경기,15
107,가상,15
108,우려,15
109,대응,15
110,취업,15
111,공단,15
112,탈세,15
113,브랜드,15
114,대비,15
115,거래,15
116,건설,15
117,상승,15
118,바이오,15
119,검토,15
120,조선,15
121,자동차,14
122,추경,14
123,조작,14
124,환율,14
125,사장,14
126,영업,14
127,신청,14
128,검찰,14
129,효과,14
130,재벌,14
131,매출,14
132,보험,14
133,글로벌,14
134,이통,14
135,제한,14
136,수사,14
137,규모,14
138,할인,14
139,김기식,14
140,사회,13
141,주목,13
142,정책,13
143,선정,13
144,전국,13
145,카드,13
146,중단,13
147,문제,13
148,여름,13
149,안전,13
150,운영,13
151,속도,13
152,지정,13
153,일가,13
154,기준,13
155,추가,13
156,수입,13
157,국제,13
158,남북,13
159,도입,13
160,사고,13
161,이벤트,13
162,본사,13
163,물가,13
164,군산,13
165,취소,12
166,요금,12
167,이슈,12
168,진출,12
169,작년,12
170,요구,12
171,신동빈,12
172,공매도,12
173,가구,12
174,영향,12
175,하락,12
176,결정,12
177,스마트폰,12
178,부담,12
179,논의,12
180,관세청,12
181,미국,12
182,연속,12
183,공사,12
184,피해,12
185,가능성,12
186,교섭,12
187,소비,11
188,불법,11
189,국토부,11
190,대상,11
191,식품,11
192,우리,11
193,부당,11
194,치킨,11
195,행사,11
196,모델,11
197,축산,11
198,스마트,11
199,점검,11
200,개편,11
201,자산,11
202,농촌,11
203,외국인,11
204,보상,11
205,회복,11
206,생활,11
207,여성,11
208,매각,11
209,엘리엇,11
210,확정,11
211,데드라인,11
212,부동산,10
213,가동,10
214,선임,10
215,우리은행,10
216,해소,10
217,유지,10
218,계약,10
219,원전,10
220,조양호,10
221,최초,10
222,제공,10
223,신설,10
224,참여,10
225,최종,10
226,상품,10
227,실적,10
228,전망,10
229,최소,10
230,코리아,10
231,체험,10
232,배당,10
233,시티,10
234,착수,10
235,한우,10
236,체결,10
237,문화,10
238,반도체,10
239,전쟁,10
240,철강,10
241,협약,10
242,가치,10
243,출장,10
244,가능,10
245,확산,10
246,외환시장,10
247,삼바,10
248,급증,10
249,밀수,10
250,변화,10
251,하나,10
252,합병,10
253,경찰,10
254,개입,10
255,사주,10
256,돌파,9
257,모바일,9
258,게임,9
259,리스크,9
260,처분,9
261,지배구조,9
262,사드,9
263,훈풍,9
264,항공,9
265,임원,9
266,공무원,9
267,본격,9
268,정상화,9
269,이사,9
270,철도,9
271,기대,9
272,폐지,9
273,달러,9
274,센터,9
275,부회장,9
276,오픈,9
277,커피,9
278,근로,9
279,신규,9
280,국가,9
281,농업,9
282,신용,9
283,인기,9
284,개인,9
285,개혁,9
286,뉴스,9
287,국산,9
288,인천공항,9
289,모집,9
290,위험,9
291,중앙회,9
292,평가,9
293,고객,9
294,재계,9
295,이주열,9
296,최저,9
297,대책,9
298,완화,9
299,쇼크,9
300,카카오,9
301,사상,9
302,관련,9
303,제품,9
304,경협,9
305,가입,9
306,임금,9
307,제조업,9
308,조현아,9
309,펀드,9
310,투입,9
311,이익,9
312,미세먼지,9
313,타이어,9
314,별세,9
315,네이버,9
316,임단협,9
317,권오준,9
318,물벼락,8
319,사실,8
320,갈등,8
321,이후,8
322,대표이사,8
323,적발,8
324,유통,8
325,당국,8
326,과징금,8
327,근로시간,8
328,단축,8
329,위반,8
330,광고,8
331,비중,8
332,기관,8
333,신세계,8
334,마케팅,8
335,사업자,8
336,모두,8
337,보호,8
338,책임,8
339,껑충,8
340,전략,8
341,유출,8
342,유치,8
343,발전,8
344,방안,8
345,북한,8
346,환경,8
347,근무,8
348,유령,8
349,보고서,8
350,은행권,8
351,경쟁,8
352,연봉,8
353,종합,8
354,폭탄,8
355,경매,8
356,준비,8
357,에너지,8
358,현실,8
359,스타,8
360,희망,8
361,확인,8
362,로또,8
363,기록,8
364,감소,8
365,특별,8
366,선택,8
367,북미,8
368,기념,8
369,퇴직,8
370,인사,8
371,재개,8
372,장관,8
373,분식회계,8
374,손해,8
375,홈쇼핑,8
376,공급,8
377,하나은행,8
378,장애,8
379,전환,8
380,개성,8
381,모비스,8
382,압박,8
383,구광모,7
384,최악,7
385,탄력,7
386,세대,7
387,부진,7
388,예산,7
389,전체,7
390,시간,7
391,등기,7
392,계속,7
393,정말,7
