,단어명,경제1분기빈도수,경제2분기빈도수,경제3분기빈도수,경제4분기빈도수,총빈도수
0,가상,113,15,9,3,140
1,화폐,110,17,12,4,143
2,톡톡,81,69,33,29,212
3,일상,79,68,32,27,206
4,삼성,72,114,86,33,305
5,인상,69,38,58,17,182
6,코노,68,69,67,31,235
7,브리핑,68,70,72,31,241
8,투자,64,33,69,42,208
9,최저임금,64,26,82,11,183
10,일자리,62,41,52,34,189
11,지원,62,49,78,22,211
12,김동연,59,52,56,26,193
13,시장,58,37,60,29,184
14,금융,57,70,68,48,243
15,해외,54,27,27,22,130
16,경영,51,21,42,8,122
17,롯데,50,25,30,20,125
18,금리,49,30,40,19,138
19,수출,48,37,43,15,143
20,관세,48,22,21,5,96
21,사업,47,35,50,18,150
22,최고,45,30,42,17,134
23,사회,44,13,28,9,94
24,플러스,43,37,8,4,92
25,산업,42,31,51,25,149
26,은행,42,23,40,20,125
27,매각,41,11,1,2,55
28,채용,41,40,20,9,110
29,국내,40,29,41,27,137
30,전자,40,34,34,18,126
31,작년,40,12,16,2,70
32,협상,40,5,5,2,52
33,대출,39,41,68,28,176
34,출시,39,50,39,31,159
35,청년,39,31,31,11,112
36,김현주,37,31,25,24,117
37,거래소,37,7,3,1,48
38,거래,37,15,25,8,85
39,노조,36,25,10,6,77
40,혁신,36,45,47,23,151
41,경제,35,45,70,37,187
42,업체,34,21,12,11,78
43,공장,34,16,15,6,71
44,논란,33,30,38,14,115
45,농협,33,42,43,23,141
46,확대,33,25,49,25,132
47,역대,33,16,24,6,79
48,증가,32,42,53,24,151
49,부담,31,12,23,13,79
50,규제,31,21,34,20,106
51,서비스,31,21,34,18,104
52,공헌,31,3,5,3,42
53,비트코인,30,5,2,1,38
54,개발,29,36,24,12,101
55,개최,28,40,26,17,111
56,직원,28,26,24,9,87
57,건설,28,15,21,10,74
58,대책,28,9,36,11,84
59,자금,27,7,14,9,57
60,기술,27,28,37,23,115
61,취업,26,15,25,14,80
62,세계,26,24,29,20,99
63,이주열,26,9,4,4,43
64,미국,25,12,16,6,59
65,강화,25,22,27,13,87
66,주택,25,23,47,18,113
67,위해,24,6,19,9,58
68,사장,24,14,12,5,55
69,한미,24,4,3,1,32
70,브랜드,24,15,15,12,66
71,비리,24,22,6,7,59
72,사상,24,9,15,8,56
73,성장,23,32,60,22,137
74,카드,23,13,31,12,79
75,안정,23,7,13,7,50
76,합의,22,18,5,3,48
77,관리,22,27,15,9,73
78,돌파,22,9,25,8,64
79,판매,22,24,18,14,78
80,폭탄,22,8,15,1,46
81,공정위,22,27,15,1,65
82,신규,21,9,19,6,55
83,금감원,21,32,16,4,73
84,생산,21,19,21,16,77
85,문제,21,13,14,11,59
86,진행,21,22,27,16,86
87,물가,21,13,30,13,77
88,소득,20,34,51,15,120
89,협력,20,20,26,4,70
90,그룹,20,47,28,5,100
91,전쟁,20,10,25,7,62
92,글로벌,20,14,22,17,73
93,무역,20,16,32,9,77
94,창업,20,20,10,13,63
95,강남,20,6,5,3,34
96,가격,20,21,21,14,76
97,부동산,20,10,33,17,80
98,중소기업,19,27,21,17,84
99,영업,19,14,30,8,71
100,대기업,18,18,25,9,70
101,결정,18,12,14,5,49
102,가맹,18,6,8,9,41
103,카카오,18,9,6,8,41
104,비상,18,3,13,1,35
105,피해,18,12,26,8,64
106,수요,18,4,14,2,38
107,정책,18,13,29,10,70
108,상승,18,15,38,17,88
109,중단,18,13,7,4,42
110,발표,17,7,22,14,60
111,시행,17,5,7,3,32
112,공인,17,4,26,6,53
113,오픈,17,9,20,7,53
114,블록,17,5,6,4,32
115,체인,17,6,6,4,33
116,인수,17,4,7,4,32
117,감소,17,8,31,26,82
118,아파트,17,4,19,14,54
119,신동빈,17,12,1,2,32
120,노사,16,17,6,7,46
121,현대,16,26,29,9,80
122,준비,16,8,6,8,38
123,최저,16,9,11,10,46
124,의혹,16,27,6,4,53
125,규모,16,14,9,5,44
126,이상,16,16,23,18,73
127,고객,16,9,8,11,44
128,가장,16,4,5,2,27
129,임금,16,9,11,5,41
130,트럼프,16,3,4,3,26
131,전환,16,8,13,8,45
132,계좌,16,1,3,2,22
133,커피,15,9,2,4,30
134,결제,15,7,3,4,29
135,가능성,15,12,6,4,37
136,공개,15,34,28,12,89
137,세금,15,5,13,2,35
138,실적,15,10,20,10,55
139,현대차,15,20,13,12,60
140,통화,15,4,1,2,22
141,확인,15,8,11,7,41
142,직장인,15,6,9,5,35
143,통해,15,5,9,1,30
144,중국,15,17,9,9,50
145,보험,15,14,21,7,57
146,하나,15,10,21,3,49
147,대우건설,15,5,3,1,24
148,국제,14,13,10,11,48
149,현장,14,17,16,8,55
150,신청,14,14,9,4,41
151,할인,14,14,15,11,54
152,플랫폼,14,2,7,3,26
153,고용,14,44,64,26,148
154,업계,14,23,26,17,80
155,가능,14,10,19,4,47
156,기준,14,13,10,3,40
157,하락,14,12,17,11,54
158,부과,14,2,2,1,19
159,유지,14,10,9,4,37
160,조사,14,17,16,16,63
161,투기,14,1,9,1,25
162,회사,14,7,7,5,33
163,전력,14,4,15,2,35
164,스타,13,8,10,3,34
165,김상조,13,19,10,4,46
166,압박,13,8,4,4,29
167,본부,13,2,8,3,26
168,계획,13,6,9,4,32
169,고발,13,7,12,3,35
170,광고,13,8,13,7,41
171,예상,13,5,5,4,27
172,활성화,13,7,5,3,28
173,우려,13,15,22,13,63
174,통상,13,1,2,5,21
175,도입,13,13,17,11,54
176,속도,13,13,18,6,50
177,회복,13,11,15,7,46
178,인사,13,8,3,3,27
179,추가,13,13,25,9,60
180,소상,13,3,25,4,45
181,가계,13,18,18,8,57
182,외식,13,4,1,1,19
183,상생,12,5,24,5,46
184,시대,12,16,12,12,52
185,본격,12,9,7,4,32
186,소비,12,11,23,6,52
187,이벤트,12,13,8,11,44
188,자율,12,7,1,8,28
189,이후,12,8,14,6,40
190,검토,12,15,29,12,68
191,진출,12,12,15,8,47
192,집값,12,6,40,7,65
193,자동차,12,14,13,9,48
194,수입,12,13,16,7,48
195,안전,12,13,14,9,48
196,대응,12,15,9,3,39
197,지역,12,21,25,8,66
198,주식,12,19,8,7,46
199,희망,12,8,35,5,60
200,선정,12,13,13,2,40
201,사드,12,9,1,2,24
202,대상,12,11,19,8,50
203,소비자,12,5,25,9,51
204,실업률,12,2,6,3,23
205,여성,12,11,10,9,42
206,실시,12,19,15,9,55
207,확산,12,10,15,4,41
208,쇼핑,12,6,13,4,35
209,한파,12,1,1,3,17
210,센터,11,9,9,3,32
211,점검,11,11,16,1,39
212,매출,11,14,13,13,51
213,최초,11,10,9,4,34
214,연속,11,12,19,9,51
215,자산,11,11,9,4,35
216,뱅크,11,6,5,2,24
217,평가,11,9,4,3,27
218,참여,11,10,14,6,41
219,과세,11,2,12,1,26
220,프랜차이즈,11,5,5,2,23
221,면제,11,5,7,3,26
222,조선,11,15,1,1,28
223,이재용,11,16,12,3,42
224,공공기관,11,6,6,5,28
225,개인,11,9,2,4,26
226,스마트폰,11,12,7,6,36
227,위기,11,18,17,7,53
228,보복,11,5,1,1,18
229,제품,11,9,13,4,37
230,국가,11,9,5,2,27
231,국세청,11,5,9,1,26
232,재정,11,3,12,1,27
233,해결,11,5,4,2,22
234,행사,11,11,10,11,43
235,우리,11,11,19,4,45
236,충격,11,3,5,3,22
237,선물,11,2,4,1,18
238,회의,11,7,9,6,33
239,비용,11,4,7,9,31
240,사용,11,5,11,1,28
241,지난해,11,6,6,5,28
242,공무원,10,9,3,8,30
243,채권,10,3,6,5,24
244,감사,10,4,5,13,32
245,육박,10,6,15,9,40
246,환율,10,14,5,4,33
247,세트,10,2,3,1,16
248,계약,10,10,9,4,33
249,경기,10,15,33,21,79
250,폐지,10,9,14,5,38
251,마트,10,7,3,2,22
252,사실,10,8,7,1,26
253,노인,10,4,2,2,18
254,보청기,10,2,9,2,23
255,아이,10,6,8,2,26
256,비중,10,8,9,2,29
257,전국,10,13,13,14,50
258,여행,10,6,6,4,26
259,참가,10,3,5,4,22
260,프리미엄,10,7,12,3,32
261,적발,10,8,9,4,31
262,결과,10,4,7,5,26
263,요청,10,5,4,1,20
264,상품,10,10,12,3,35
265,체결,10,10,12,7,39
266,달러,10,9,3,2,24
267,네이버,10,9,2,3,24
268,온라인,10,7,12,5,34
269,평균,10,18,24,9,61
270,치킨,10,11,2,5,28
271,사랑,10,6,10,2,28
272,개편,9,11,18,2,40
273,기념,9,8,12,6,35
274,인하,9,6,12,17,44
275,베트남,9,6,4,5,24
276,발전,9,8,17,3,37
277,책임,9,8,11,6,34
278,절반,9,7,9,7,32
279,국민연금,9,18,37,10,74
280,반도체,9,10,16,8,43
281,수익,9,1,2,5,17
282,개선,9,18,16,11,54
283,전략,9,8,7,1,25
284,가동,9,10,7,3,29
285,기관,9,8,6,4,27
286,적자,9,5,4,3,21
287,수수료,9,5,12,7,33
288,연봉,9,8,3,2,22
289,급등,9,6,10,5,30
290,생활,9,11,8,3,31
291,제공,9,10,8,3,30
292,반대,9,5,4,3,21
293,주행,9,4,3,5,21
294,필요,9,19,14,12,54
295,개시,9,1,1,1,12
296,게임,9,9,9,4,31
297,장관,9,8,16,3,36
298,전달,9,4,7,1,21
299,캠페인,9,7,5,2,23
300,악재,9,2,5,2,18
301,수급,9,2,9,3,23
302,증시,9,6,3,14,32
303,시세,9,2,2,1,14
304,부회장,8,9,11,1,29
305,정상화,8,9,3,3,23
306,증권,8,34,12,2,56
307,우정,8,1,3,1,13
308,건강,8,17,8,4,37
309,협의,8,4,10,6,28
310,이자,8,6,4,3,21
311,대형,8,3,7,2,20
312,테크,8,6,3,5,22
313,포스코,8,19,11,3,41
314,일부,8,7,11,1,27
315,이용,8,7,8,2,25
316,효과,8,14,26,8,56
317,이익,8,9,13,3,33
318,사고,8,13,12,5,38
319,현실,8,8,8,1,25
320,급증,8,10,13,7,38
321,성공,8,6,10,2,26
322,국산,8,9,1,4,22
323,분쟁,8,5,11,4,28
324,구조조정,8,1,7,1,17
325,유통,8,8,9,3,28
326,국민,8,7,17,10,42
327,가구,8,12,21,6,47
328,통합,8,3,6,1,18
329,혜택,8,6,17,5,36
330,영향,8,12,10,8,38
331,단체,8,5,9,5,27
332,개혁,8,9,11,5,33
333,기재부,8,2,4,4,18
334,수주,8,5,12,2,27
335,스마트,8,11,17,8,44
336,사업자,8,8,7,2,25
337,철도,8,9,1,1,19
338,육성,8,6,5,1,20
339,논의,8,12,16,4,40
340,기록,8,8,3,6,25
341,보유,8,5,5,7,25
342,주주,8,5,3,1,17
343,최악,8,7,8,4,27
344,지속,8,5,9,3,25
345,부실,8,3,4,1,16
346,포기,8,1,2,1,12
347,방문,8,7,11,2,28
348,대비,8,15,16,7,46
349,연금,7,6,28,5,46
350,출범,7,6,10,6,29
351,등장,7,3,3,1,14
352,제도,7,7,4,1,19
353,구매,7,2,4,6,19
354,임원,7,9,4,3,23
355,모델,7,11,2,1,21
356,전문,7,5,12,7,31
357,특별,7,8,15,2,32
358,당국,7,8,3,9,27
359,디지털,7,7,7,11,32
360,맞춤,7,4,4,1,16
361,고속도로,7,3,5,3,18
362,교육,7,7,12,4,30
363,행복,7,2,9,2,20
364,시스템,7,17,9,7,40
365,검사,7,6,4,3,20
366,바이오,7,15,17,15,54
367,동반,7,4,2,3,16
368,중앙회,7,9,7,5,28
369,방안,7,8,11,2,28
370,확장,7,2,5,2,16
371,편의점,7,7,15,6,35
372,요구,7,12,8,1,28
373,농업,7,9,6,1,23
374,목표,7,5,5,8,25
375,적용,7,7,12,8,34
376,서민,7,2,10,6,25
377,선택,7,8,6,3,24
378,상반기,7,4,36,1,48
379,코레일,7,6,5,2,20
380,가치,7,10,9,8,34
381,전문가,7,6,8,4,25
382,구속,7,4,3,3,17
383,갤럭시,7,1,4,2,14
384,검찰,7,14,8,1,30
385,예금,7,4,4,4,19
386,프로모션,7,5,3,4,19
387,공동,7,4,8,8,27
388,종합,7,8,17,5,37
389,최종,7,10,11,7,35
390,신고,7,7,7,1,22
391,사태,7,17,7,1,32
392,조정,7,2,7,9,25
393,코리아,7,10,8,9,34
394,전망,7,10,21,18,56
395,활용,7,7,12,5,31
396,신설,7,10,5,1,23
397,뉴스,7,9,4,4,24
398,로또,7,8,6,2,23
399,수사,7,14,5,1,27
400,이슈,7,12,8,9,36
401,첫날,7,1,2,3,13
402,수준,7,6,12,6,31
403,구축,7,6,13,4,30
404,보호무역,7,3,1,1,12
405,가속,7,5,6,1,19
406,전세,6,7,8,2,23
407,위반,6,8,5,2,21
408,노력,6,1,3,3,13
409,사람,6,5,4,3,18
410,긴급,6,1,6,2,15
411,유치,6,8,2,3,19
412,변화,6,10,6,5,27
413,재벌,6,14,3,1,24
414,승계,6,2,3,2,13
415,그린,6,4,5,1,16
416,작업,6,4,3,2,15
417,백화점,6,4,4,3,17
418,체감,6,3,11,7,27
419,신제품,6,6,6,5,23
420,호텔,6,5,8,1,20
421,공사,6,12,13,4,35
422,비정규직,6,6,2,3,17
423,인기,6,9,10,6,31
424,직장,6,6,5,3,20
425,문화,6,10,16,7,39
426,활동,6,4,15,2,27
427,투입,6,9,10,5,30
428,미세먼지,6,9,3,5,23
429,중견,6,1,1,1,9
430,완화,6,9,22,2,39
431,예산,6,7,24,1,38
432,직격탄,6,2,1,3,12
433,배제,6,2,2,6,16
434,공식,6,4,7,4,21
435,보고,6,4,2,1,13
436,보장,6,4,5,1,16
437,손실,6,2,4,3,15
438,확정,6,11,3,1,21
439,폭락,6,1,4,7,18
440,기준금리,6,4,6,3,19
441,목소리,6,3,3,4,16
442,사과,6,3,6,2,17
443,모든,6,3,5,2,16
444,내달,6,3,5,1,15
445,판단,6,7,6,1,20
446,확보,6,6,11,5,28
447,도로,6,2,3,2,13
448,손경,6,2,2,1,11
449,위험,6,9,7,2,24
450,항공,6,9,12,8,35
451,단축,6,8,3,3,20
452,시험,6,4,5,2,17
453,대박,6,4,2,1,13
454,대규모,6,5,6,3,20
455,아시아나,6,2,19,1,28
456,설명,6,5,7,3,21
457,도약,6,5,2,1,14
458,피해자,6,4,4,3,17
459,정규직,6,5,3,5,19
460,제재,6,5,7,2,20
461,보호,6,8,5,3,22
462,제한,6,14,16,1,37
463,붕괴,6,1,7,2,16
464,교체,6,6,2,5,19
465,기간,6,2,4,5,17
466,관심,6,3,1,2,12
467,금지,6,6,8,4,24
468,쇼핑몰,6,1,7,2,16
469,연구,6,4,7,4,21
470,허용,6,3,6,4,19
471,맥주,6,3,3,2,14
472,기능,6,5,7,4,22
473,출발,5,3,3,3,14
474,초과,5,2,3,2,12
475,한우,5,10,4,4,23
476,환경,5,8,10,5,28
477,전면,5,3,7,2,17
478,공유,5,5,7,7,24
479,임대,5,1,10,9,25
480,일감,5,6,6,1,18
481,주년,5,3,5,6,19
482,탈출,5,1,3,1,10
483,협약,5,10,13,6,34
484,입장,5,1,3,1,10
485,불가피,5,6,1,1,13
486,제조업,5,9,8,6,28
487,설립,5,3,6,4,18
488,신세계,5,8,6,1,20
489,페이스북,5,2,1,1,9
490,정보,5,7,9,4,25
491,시동,5,5,6,1,17
492,관련,5,9,5,4,23
493,절차,5,3,3,1,12
494,유출,5,8,4,2,19
495,박람회,5,2,5,3,15
496,프로그램,5,5,1,3,14
497,에너지,5,8,7,2,22
498,복지,5,2,8,6,21
499,공간,5,7,4,4,20
500,민간,5,7,3,4,19
501,적극,5,7,5,3,20
502,한도,5,1,5,2,13
503,현상,5,2,1,1,9
504,일본,5,6,7,1,19
505,중소,5,2,4,1,12
506,선언,5,4,2,2,13
507,기회,5,5,1,2,13
508,재계,5,9,9,1,24
509,부진,5,7,9,10,31
510,제안,5,2,5,1,13
511,유럽,5,6,8,3,22
512,통신,5,5,2,1,13
513,지정,5,13,8,2,28
514,돌입,5,2,4,3,14
515,회수,5,2,3,2,12
516,분야,5,3,7,1,16
517,코스피,5,3,4,7,19
518,공포,5,2,1,3,11
519,유예,5,5,2,1,13
520,조치,5,7,4,4,20
521,홈쇼핑,5,8,5,3,21
522,운영,5,13,9,3,30
523,한국은행,5,1,1,1,8
524,계속,5,7,9,3,24
525,농산물,5,5,2,2,14
526,국토부,5,11,13,5,34
527,보안,5,2,5,4,16
528,반발,5,7,13,4,29
529,부정,5,4,2,4,15
530,가입,5,9,9,1,24
531,최소,5,10,12,1,28
532,택시,5,3,2,6,16
533,선도,5,6,3,2,16
534,처분,5,9,3,1,18
535,월급,5,7,3,3,18
536,지방,5,1,4,2,12
537,로봇,5,4,4,4,17
538,폭풍,5,4,8,1,18
539,산업혁명,5,6,6,7,24
540,금제,5,4,2,2,13
541,도시,5,6,4,5,20
542,라면,5,1,1,5,12
543,껑충,5,8,7,6,26
544,런칭,5,6,3,3,17
545,모집,5,9,5,3,22
546,흑자,5,6,8,2,21
547,공유경제,5,2,2,3,12
548,공단,5,15,4,2,26
549,연장,5,3,6,1,15
550,화장품,5,5,3,2,15
551,열풍,5,3,1,1,10
552,발견,5,5,6,3,19
553,업무,5,7,10,8,30
554,금융위,5,2,4,3,14
555,외국인,5,11,6,6,28
556,면세점,5,6,11,1,23
557,변수,5,1,3,1,10
558,핵심,5,6,13,4,28
559,규정,5,3,3,1,12
560,눈길,5,2,6,5,18
561,구조,5,3,3,4,15
562,담보,5,5,4,5,19
563,계층,5,2,7,3,17
564,공감,5,4,2,1,12
565,기부,5,3,8,1,17
566,동결,5,4,8,2,19
567,합병,5,10,4,2,21
568,장기,5,5,10,7,27
569,불안,5,5,12,3,25
570,연체,5,2,7,4,18
571,자료,5,3,2,1,11
572,바람,5,2,5,4,16
