,단어명,빈도수
0,노회찬,93
1,김병준,79
2,국회,75
3,여야,72
4,민주,65
5,남북,63
6,선언,63
7,이해찬,62
8,기무사,58
9,민주당,53
10,김성태,52
11,문건,50
12,경제,49
13,지지율,48
14,특검,48
15,평양,46
16,이재명,46
17,총리,45
18,평화,45
19,성장,45
20,장관,44
21,특활비,43
22,인사,43
23,위원장,43
24,소득,42
25,정책,41
26,수사,39
27,의혹,38
28,국민,38
29,계엄,37
30,비핵화,37
31,논란,35
32,정의당,35
33,홍준표,34
34,드루,34
35,주도,33
36,국정,33
37,김경수,32
38,합의,29
39,당권,29
40,유은혜,28
41,심재철,28
42,혁신,28
43,홍영표,28
44,규제,28
45,김정은,27
46,판문점,27
47,개혁,27
48,협치,27
49,정상회담,26
50,회담,25
51,하락,25
52,문제,24
53,최저임금,24
54,일자리,24
55,최저,23
56,폐지,23
57,출마,23
58,박근혜,22
59,사회,22
60,문재인,22
61,의장,22
62,대책,22
63,정미,21
64,전대,21
65,요청,20
66,손학규,20
67,검토,20
68,논의,20
69,필요,20
70,정상,20
71,방문,20
72,국가,20
73,지원,20
74,비대,20
75,송영길,20
76,야당,19
77,비준,19
78,청문회,19
79,국방,19
80,방북,19
81,하태경,19
82,비판,18
83,반대,18
84,관련,18
85,검찰,18
86,최고,18
87,발언,18
88,국민연금,18
89,고용,18
90,구성,18
91,이상,17
92,위원,17
93,종전,17
94,조치,17
95,조사,17
96,동행,17
97,송영,17
98,재판,17
99,문희상,17
100,갈등,17
101,주자,17
102,계엄령,17
103,요구,16
104,정청,16
105,지사,16
106,남북정상회담,16
107,법안,16
108,안철수,16
109,위해,16
110,발의,16
111,완화,16
112,농단,16
113,국정원,16
114,확대,16
115,협의,15
116,공동,15
117,회의,15
118,김동연,15
119,교체,15
120,북미,15
121,내각,15
122,지지도,15
123,예산,15
124,후보자,15
125,비서,15
126,대응,15
127,민생,15
128,안희정,15
129,개선,15
130,진보,15
131,보고,15
132,친문,15
133,김진표,15
134,연설,14
135,우리,14
136,재정,14
137,부동산,14
138,압수수색,14
139,장하,14
140,동의,14
141,결정,14
142,추석,14
143,결과,14
144,여성,14
145,정치권,14
146,책임,14
147,임종석,14
148,연속,14
149,지역,14
150,소환,14
151,모임,14
152,전두환,14
153,선고,14
154,무죄,14
155,사실,13
156,공개,13
157,청문,13
158,참석,13
159,위반,13
160,일정,13
161,노무현,13
162,이낙연,13
163,발표,13
164,병역,13
165,백두산,13
166,공무원,13
167,보수,13
168,개입,13
169,주의,13
170,처벌,13
171,박정희,13
172,박원순,13
173,계획,13
174,보고서,12
175,출신,12
176,청탁,12
177,박지원,12
178,기대,12
179,한반도,12
180,효과,12
181,회복,12
182,특사,12
183,특별,12
184,주목,12
185,이재용,12
186,삼성,12
187,헌법재판관,12
188,취임,12
189,사법,12
190,인상,12
191,개각,12
192,원내대표,12
193,조폭,12
194,강조,11
195,인도,11
196,포함,11
197,선거,11
198,기관,11
199,김관영,11
200,김정숙,11
201,여사,11
202,청원,11
203,오찬,11
204,혐의,11
205,속도,11
206,성공,11
207,사람,11
208,자금,11
209,공공기관,11
210,집값,11
211,정의,11
212,도전,11
213,청산,11
214,석탄,11
215,복귀,10
216,북한,10
217,국회의장,10
218,평가,10
219,보장,10
220,정보,10
221,경찰,10
222,기간,10
223,규명,10
224,영장,10
225,채택,10
226,진선미,10
227,신임,10
228,성과,10
229,목소리,10
230,모두,10
231,거부,10
232,대화,10
233,트럼프,10
234,시간,10
235,보도,10
236,하나,10
237,개정안,10
238,세대,10
239,처리,10
240,확인,10
241,나라,10
242,피해,10
243,독립,10
244,지지,10
245,지급,10
246,정동영,10
247,강화,10
248,인정,10
249,출석,10
250,위기,10
251,추미애,10
252,옥탑방,10
253,참배,10
254,난민,10
255,부엉이,10
256,전문,9
257,미국,9
258,주장,9
259,업무,9
260,중요,9
261,가능성,9
262,외교,9
263,불법,9
264,차관,9
265,정권,9
266,집중,9
267,유승민,9
268,역사,9
269,대위,9
270,차례,9
271,민심,9
272,대북,9
273,정당,9
274,국회의원,9
275,사상,9
276,사망,9
277,환영,9
278,검증,9
279,협상,9
280,방안,9
281,최선,9
282,집권,9
283,공천,9
284,헌재,9
285,보좌,9
286,협력,9
287,실장,9
288,페북,9
289,악화,9
290,촉구,9
291,도부,9
292,대한민국,9
293,상임,9
294,소상,9
295,공인,9
296,개헌,9
297,사태,8
298,변호사,8
299,운영,8
300,뉴스,8
301,본격,8
302,사무,8
303,사퇴,8
304,통일,8
305,비난,8
306,공약,8
307,마음,8
308,선물,8
309,사고,8
310,부부,8
311,제도,8
312,예정,8
313,시민,8
314,제안,8
315,임명,8
316,역대,8
317,청년,8
318,의지,8
319,기각,8
320,은애,8
321,안보,8
322,지방,8
323,김무성,8
324,당원,8
325,의도,8
326,나선,8
327,특례,8
328,과제,8
329,시기,8
330,상실,8
331,정치자금,8
332,국방부,8
333,현장,8
334,묘역,8
335,계파,8
336,특수,8
337,세월호,8
338,실행,8
339,카드,7
340,지속,7
341,유출,7
342,주택,7
343,사건,7
344,방미,7
345,산업,7
346,추가,7
347,관리,7
348,선택,7
349,노력,7
350,해산,7
351,예고,7
352,싸움,7
353,한미,7
354,도착,7
355,시장,7
356,논쟁,7
357,반박,7
358,은행,7
359,통과,7
360,깜짝,7
361,감사원,7
362,모든,7
363,반응,7
364,문정인,7
365,김영철,7
366,정경두,7
367,교육,7
368,동반,7
369,우려,7
370,분리,7
371,적극,7
