,단어명,정치1분기빈도수,정치2분기빈도수,정치3분기빈도수,정치4분기빈도수,총빈도수
0,홍준표,114,147,34,49,344
4,민주,104,116,65,21,306
17,국회,65,113,75,44,297
12,여야,73,70,72,28,243
21,민주당,58,115,53,12,238
911,드루,1,195,34,1,231
10,남북,82,62,63,18,225
6,수사,100,77,39,4,220
7,국민,99,66,38,17,220
18,평화,62,92,45,17,216
43,김성태,37,99,52,23,211
3,의혹,106,52,38,14,210
195,이재명,13,102,46,44,205
24,총리,55,56,45,37,193
46,선언,36,64,63,27,190
2,검찰,108,54,18,2,182
25,선거,50,104,11,14,179
19,회담,61,79,25,9,174
16,박근혜,67,67,22,18,174
20,안철수,61,92,16,2,171
8,출마,93,52,23,3,171
15,지방선거,68,91,2,2,163
42,논란,37,55,35,24,151
22,국정,58,36,33,20,147
5,개헌,100,36,9,1,146
9,조사,82,33,17,10,142
124,경제,18,33,49,42,142
1,안희정,109,9,15,1,134
64,김정은,27,55,27,22,131
72,정책,25,27,41,38,131
37,지지율,39,29,48,9,125
40,재판,38,47,17,21,123
66,북미,27,64,15,15,121
44,경찰,37,49,10,20,116
14,국정원,71,22,16,7,116
252,노회찬,11,9,93,1,114
95,박원순,21,76,13,3,113
55,발언,31,30,18,31,110
89,댓글,22,78,7,1,108
77,문재인,24,39,22,20,105
41,사퇴,38,53,8,5,104
30,특활비,41,11,43,9,104
134,정상회담,17,51,26,8,102
48,논의,34,35,20,13,102
63,합의,27,29,29,15,100
116,보수,18,42,13,26,99
92,장관,22,13,44,20,99
29,대책,44,15,22,14,95
135,비핵화,17,28,37,12,94
151,평양,16,9,46,22,93
203,인사,13,22,43,15,93
82,문제,24,36,24,8,92
13,통합,72,8,5,7,92
62,지사,28,41,16,6,91
11,구속,73,10,3,4,90
38,검토,38,14,20,17,89
239,일자리,11,27,24,26,88
118,위원장,18,20,43,7,88
56,정의당,30,17,35,4,86
79,요구,24,36,16,9,85
27,유승민,48,25,9,2,84
23,정당,58,11,9,5,83
28,발의,48,11,16,6,81
57,사건,30,36,7,8,81
49,사실,34,29,13,4,80
59,회의,30,18,15,16,79
32,서울시장,40,37,1,1,79
69,정권,26,30,9,14,79
287,판문점,10,34,27,7,78
395,성장,7,10,45,15,77
76,트럼프,24,37,10,6,77
173,남북정상회담,14,44,16,2,76
36,출석,39,19,10,7,75
126,개혁,18,17,27,13,75
34,혐의,40,22,11,1,74
31,대화,41,15,10,7,73
119,한반도,18,34,12,9,73
74,박지원,25,11,12,25,73
112,방문,19,15,20,18,72
121,혁신,18,18,28,8,72
437,조작,6,54,5,6,71
35,이명박,39,19,1,11,70
148,지원,16,28,20,6,70
125,임종석,18,10,14,28,70
674,소득,3,17,42,7,69
50,결정,34,15,14,6,69
109,처리,19,35,10,5,69
75,반대,25,19,18,6,68
1010,김문수,1,59,4,4,68
146,공개,16,28,13,11,68
52,뇌물,34,22,7,5,68
33,입장,40,20,5,3,68
80,농단,24,19,16,8,67
83,징역,24,27,5,10,66
155,최저임금,16,19,24,7,66
1002,손학규,1,16,20,29,66
96,발표,21,22,13,10,66
110,결과,19,27,14,5,65
39,대북,38,10,9,8,65
394,주도,7,11,33,13,64
147,비판,16,17,18,13,64
61,공동,28,8,15,13,64
85,관련,24,16,18,5,63
100,책임,21,23,14,5,63
65,협의,27,11,15,9,62
149,야당,16,22,19,5,62
932,홍영표,1,17,28,16,62
153,하락,16,11,25,10,62
88,사과,22,20,7,13,62
122,위해,18,19,16,8,61
184,규제,14,11,28,7,60
114,협상,18,32,9,1,60
90,선고,22,19,14,5,60
71,참석,26,11,13,10,60
348,하태경,8,8,19,25,60
54,북한,34,15,10,1,60
84,대응,24,16,15,4,59
53,소환,34,9,14,1,58
58,가능성,30,15,9,4,58
397,정상,7,25,20,5,57
70,보고,26,12,15,4,57
157,우리,15,23,14,5,57
