,단어명,빈도수
0,경찰,187
1,폭행,140
2,양진호,108
3,유치원,92
4,살인,92
5,사건,87
6,논란,84
7,수사,81
8,의혹,75
9,구속,71
10,검찰,68
11,피해자,64
12,이재명,63
13,화재,62
14,혐의,60
15,조사,60
16,사망,57
17,피해,55
18,여성,53
19,비리,52
20,숙명여고,50
21,공개,48
22,직원,48
23,음주운전,48
24,징역,45
25,불법,45
26,영장,45
27,살해,44
28,범죄,43
29,재판,42
30,국민,41
31,택시,40
32,교사,40
33,거부,39
34,청원,39
35,발견,39
36,무죄,38
37,검거,38
38,학생,37
39,쌍둥이,37
40,처벌,37
41,흉기,36
42,법원,36
43,사고,36
44,사립,35
45,적발,34
46,공무원,34
47,남성,32
48,구속영장,32
49,고시원,32
50,학교,31
51,단체,31
52,임종헌,31
53,유소,31
54,성폭행,30
55,변호사,30
56,강제,30
57,댓글,29
58,아파트,29
59,송치,29
60,병역,29
61,신청,28
62,문제,28
63,고발,28
64,학부모,28
65,만취,28
66,지원,27
67,수능,26
68,입건,26
69,인정,26
70,집회,26
71,이상,25
72,병원,25
73,김성수,24
74,사법,24
75,운전자,24
76,판사,24
77,신고,24
78,체포,24
79,협박,24
80,동생,23
81,경찰관,23
82,서울시,23
83,세상,23
84,압수수색,23
85,엄마,23
86,인천,23
87,뉴스,23
88,아이,23
89,시험,22
90,공사,22
91,피의자,22
92,차량,22
93,양승태,22
94,마약,22
95,유총,22
96,아들,22
97,징용,22
98,가족,22
99,채용,21
100,아버지,21
101,유출,21
102,양심,21
103,소송,21
104,안전,21
105,현장,21
106,성추행,21
107,교수,21
108,농단,20
109,남편,20
110,반대,20
111,미세먼지,20
112,지역,20
113,징역형,20
114,사업,20
115,환자,20
116,기자,20
117,부인,20
118,강용석,19
119,추락,19
120,최고,19
121,집단,19
122,시신,19
123,어린이집,19
124,위반,19
125,성폭력,19
126,징계,19
127,전국,19
128,외국인,19
129,출석,19
130,교육,19
131,강서구,19
132,몰카,18
133,판결,18
134,금지,18
135,심사,18
136,사회,18
137,국가,18
138,운전,18
139,음주,18
140,시민,18
141,주민,18
142,현직,18
143,카페,18
144,기소,18
145,장애인,18
146,의견,18
147,국내,18
148,미투,18
149,증거,18
150,실형,18
151,태풍,18
152,필요,17
153,횡령,17
154,사장,17
155,일상,17
156,톡톡,17
157,우려,17
158,중단,17
159,하나,17
160,선고,17
161,우리,17
162,사기,17
163,가해자,17
164,종로,17
165,난민,17
166,요구,16
167,공범,16
168,교통,16
169,갈등,16
170,고교,16
171,소환,16
172,단속,16
173,도주,16
174,대상,16
175,중국,16
176,노량진,16
177,추가,16
178,가짜,16
179,부장,16
180,폐지,16
181,기사,16
182,이수역,15
183,공장,15
184,의사,15
185,알몸,15
186,관련,15
187,영상,15
188,여론,15
189,확인,15
190,김현주,15
191,웹하드,15
192,확정,15
193,의심,15
194,호선,15
195,결정,15
196,보험,15
197,관리,15
198,범행,15
199,검사,15
200,포르노,15
201,남친,15
202,사용,15
203,노인,15
204,카풀,15
205,콩레이,15
206,장애,14
207,허위,14
208,지하철,14
209,버스,14
210,업체,14
211,욕설,14
212,아내,14
213,사실,14
214,촬영,14
215,추정,14
216,확대,14
217,목사,14
218,업무,14
219,치료,14
220,윤창,14
221,아빠,14
222,동영상,14
223,간부,14
224,반발,14
225,벌금형,14
226,의료,14
227,카카오,14
228,대학,13
229,심신,13
230,인상,13
231,주장,13
232,고속도로,13
233,지진,13
234,청구,13
235,시장,13
236,그루밍,13
237,보상,13
238,계엄,13
239,강화,13
240,판매,13
241,학대,13
242,사람,13
243,여명,13
244,운행,13
245,폭력,13
246,분노,13
247,김부선,13
248,시설,13
249,리벤지,13
250,원인,13
251,고양,13
252,증가,12
253,운영,12
254,집행유예,12
255,미약,12
256,때문,12
257,부상,12
258,보수,12
259,위기,12
260,대책,12
261,강요,12
262,부정,12
263,논산,12
264,벌금,12
265,처리,12
266,유통,12
267,정황,12
268,부모,12
269,여부,12
270,청년,12
271,경북,12
272,실명,12
273,모두,12
274,노동자,12
275,용의자,12
276,상습,12
277,방치,12
278,사법부,12
279,감형,12
280,구하라,12
281,사과,12
282,절반,12
283,급증,12
284,위해,12
285,강서,12
286,원정,12
287,스리랑카인,12
288,상대,11
289,경비원,11
290,구조,11
291,잘못,11
292,노후,11
293,제한,11
294,대체복무,11
295,종교,11
296,대신,11
297,수도,11
298,박근혜,11
299,확산,11
300,음란물,11
301,친구,11
302,이명박,11
303,보도,11
304,유은혜,11
305,조작,11
306,한국인,11
307,감사,11
308,호소,11
309,건강,11
310,성범죄,11
311,유죄,11
312,감정,11
313,보호,11
314,직장,11
315,부부,11
316,도박,11
317,시도,11
318,훼손,11
319,전남,11
320,입원,11
321,특수,11
322,신체,11
323,엄벌,11
324,축제,11
325,규탄,11
326,법정구속,11
327,히말라야,11
328,송유관,11
329,대응,10
330,출제,10
331,근로자,10
332,취해,10
333,실종,10
334,대학생,10
