,단어명,사회1분기빈도수,사회2분기빈도수,사회3분기빈도수,사회4분기빈도수,총빈도수
0,경찰,264,354,324,187,1129
5,수사,177,189,191,81,638
7,의혹,172,147,166,75,560
22,폭행,87,188,110,140,525
3,검찰,188,155,111,68,522
1,조사,206,144,102,60,512
8,혐의,152,150,108,60,470
10,징역,140,136,142,45,463
13,여성,117,128,157,53,455
17,논란,102,111,132,84,429
12,구속,123,113,121,71,428
11,사망,129,90,112,57,388
21,사건,93,91,90,87,361
2,성추행,201,75,58,21,355
16,피해,111,79,92,55,337
38,재판,66,120,91,42,319
9,화재,143,39,63,62,307
4,병원,178,51,49,25,303
14,성폭행,114,95,56,30,295
26,살해,80,100,61,44,285
33,불법,71,76,91,45,283
28,영장,78,75,76,45,274
29,발견,77,64,90,39,270
34,직원,70,71,73,48,262
36,교사,68,62,90,40,260
25,피해자,82,75,39,64,260
6,미투,174,34,23,18,249
49,사고,57,62,79,36,234
27,압수수색,80,56,74,23,233
15,검사,112,57,45,15,229
23,소환,83,63,62,16,224
87,살인,41,33,57,92,223
18,일상,98,69,39,17,223
20,톡톡,97,75,32,17,221
40,법원,63,62,60,36,221
80,무죄,43,48,81,38,210
19,교수,98,60,31,21,210
63,검거,51,49,65,38,203
51,구속영장,55,68,47,32,202
47,출석,58,57,58,19,192
65,아파트,50,46,65,29,190
81,공개,43,51,46,48,188
45,현장,59,52,52,21,184
50,차량,56,45,58,22,181
76,처벌,44,44,53,37,178
67,학생,49,44,47,37,177
59,남성,51,46,48,32,177
58,신고,52,42,59,24,177
64,뉴스,51,65,38,23,177
474,몰카,13,77,65,18,173
121,흉기,35,60,42,36,173
70,공무원,46,45,48,34,173
56,환자,53,22,75,20,170
150,댓글,30,78,32,29,169
46,비리,58,29,27,52,166
91,국민,40,34,50,41,165
69,추가,47,52,48,16,163
101,학교,39,43,49,31,162
42,아들,60,33,43,22,158
89,변호사,41,35,50,30,156
48,세월호,57,64,29,5,155
484,유치원,13,6,44,92,155
109,주민,36,44,56,18,154
30,성폭력,77,37,18,19,151
105,문제,37,33,53,28,151
35,안희정,68,18,61,2,149
163,적발,29,33,53,34,149
103,체포,38,50,35,24,147
114,신청,36,55,28,28,147
73,입건,45,40,36,26,147
53,기자,54,39,33,20,146
43,채용,60,37,28,21,146
1195,이재명,5,9,68,63,145
100,남편,39,37,48,20,144
62,요구,51,37,40,16,144
82,아이,43,42,36,23,144
99,선고,39,45,42,17,143
206,범죄,24,28,48,43,143
144,인천,31,38,50,23,142
52,가족,55,36,28,22,141
147,거부,30,41,31,39,141
129,사회,33,52,37,18,140
55,기소,53,42,25,18,138
148,확인,30,54,37,15,136
95,안전,40,33,42,21,136
127,사기,34,23,60,17,134
79,업체,43,25,52,14,134
84,박근혜,42,53,27,11,133
60,아내,51,40,28,14,133
86,부인,42,39,32,20,133
312,실종,18,48,56,10,132
77,징역형,44,31,37,20,132
85,심사,42,34,36,18,130
132,단체,33,33,33,31,130
107,브리핑,37,53,30,9,129
143,지원,31,33,37,27,128
182,유출,27,27,52,21,127
94,경찰관,40,35,28,23,126
210,청원,23,27,37,39,126
39,미세먼지,65,31,10,20,126
116,판사,36,23,41,24,124
157,집단,29,45,31,19,124
111,사람,36,42,33,13,124
166,시신,29,39,37,19,124
24,참사,82,19,14,8,123
66,엄마,50,28,22,23,123
90,관련,41,38,29,15,123
31,국정원,75,30,13,4,122
115,시민,36,37,31,18,122
88,실형,41,25,37,18,121
54,청구,54,34,20,13,121
96,부상,40,38,31,12,121
501,조작,13,58,38,11,120
164,인정,29,36,27,26,118
1341,난민,5,27,68,17,117
93,간부,40,36,27,14,117
118,피의자,35,27,31,22,115
131,협박,33,30,26,24,113
211,고발,23,35,27,28,113
264,여고생,20,49,40,4,113
124,관리,34,36,27,15,112
1115,거래,6,53,42,10,111
179,노조,27,34,40,8,109
71,사실,46,24,25,14,109
260,기각,20,38,41,10,109
72,김현주,46,32,14,15,107
176,소송,28,29,28,21,106
245,취업,21,30,48,7,106
261,강제,20,27,29,30,106
171,교육,28,30,29,19,106
178,기사,27,34,28,16,105
189,사업,26,25,34,20,105
102,구조,38,23,32,11,104
122,전국,35,22,28,19,104
139,사장,32,23,31,17,103
218,송치,23,28,23,29,103
68,성희롱,48,24,23,8,103
130,긴급,33,31,28,10,102
106,검토,37,30,25,10,102
108,버스,37,21,30,14,102
191,모두,26,38,26,12,102
159,허위,29,27,31,14,101
215,집행유예,23,35,31,12,101
366,확대,16,29,41,14,100
92,항소심,40,32,18,10,100
98,사과,39,26,23,12,100
120,결정,35,16,33,15,99
169,대학,29,29,28,13,99
330,택시,17,21,21,40,99
232,반대,22,22,35,20,99
44,폭로,60,18,13,7,98
61,지진,51,22,12,13,98
117,구형,35,19,34,10,98
432,어린이집,14,25,40,19,98
431,음주운전,14,10,25,48,97
212,발생,23,16,48,10,97
104,책임,37,26,24,10,97
255,추락,20,28,29,19,96
374,추정,16,35,31,14,96
74,플러스,45,35,15,1,96
354,의심,16,17,46,15,94
125,징계,34,24,17,19,94
162,우리,29,26,22,17,94
407,영상,15,27,37,15,94
187,위해,26,38,17,12,93
161,중단,29,16,31,17,93
158,대응,29,24,30,10,93
321,삼성,18,37,30,8,93
32,세종,72,11,4,5,92
285,판결,19,19,35,18,91
167,서울시,29,19,20,23,91
