,제목
0,[뉴스 TALK] '광주형 일자리' 꼬이고 또 꼬이고… 광주시의 노동계와 대타협 하긴 한 건가요?
1,휴대폰 자급제 논란…요금 인하 확신 못하고 시행 땐 6만여명 일자리 사라질 수도
2,[기자수첩] 청와대만 모르는 원전의 일자리 효과
3,"""통상임금 분쟁서 신의칙 인정 안되면 일자리 5만개 줄어"""
4,당사자 빠진 합의…광주형 일자리 '가시밭길’
5,"""정책이 일자리 파괴한다면 정의로운 경제라 할 수 없어"""
6,'광주형 일자리' 돌파구 열리나
7,"현대차 노조 ""사측, 광주형일자리 투자땐 총파업"""
8,현대차 노조 “광주형 일자리 사업 동의하면 총파업 나설 것”
9,"홈플러스, 경기도일자리재단과 여성기업 지원"
10,"""광주형 일자리 투자 괜찮을까"" 고민하는 현대차"
11,"김동연 ""일자리 늘릴 수 있다면 내 거취가 대수겠나"""
12,"홍영표 ""광주형 일자리, 이렇게 늦어질줄 몰랐다"""
13,"새 일자리… 빈 강의실 불끄기, 산불 감시, 라돈침대 조사"
14,"""경기도가 공사단가 낮추면 일자리 2만8000개 줄어"""
15,"코레일, 재직자 사망으로 인한 결원 보충도 일자리 창출로 ‘뻥튀기’"
16,유류세 15% 인하·단기공공일자리 5.9만개…위기용 경제대책
17,"""줄어든 車일자리 90%가 부품사… 1년도 못 버티겠다"""
18,내 일자리는 어디에… 
19,정규직 전환 公共일자리 10만개… 공개채용은 15%뿐
20,은행권 일자리펀드 조성 협약
21,"제대 군인들 ""내 일자리는 어디에…"""
22,"[국감 2018] 기재부 국감, 단기 일자리 압박·소득주도성장 공방"
23,"[글로벌콘퍼런스] 아베 경제 멘토 ""금리 인하해야 일자리 생긴다"""
24,상반기 보건산업 수출액 71억불…일자리 2만4000개 만들어
25,조선업 퇴직 중장년층 위한 일자리 박람회
26,"""일자리 늘리고 싶어도, 한국에선 공장 짓기 참 어렵네요"""
27,"""BH 지시다, 단기 일자리 빨리 만들어라"""
28,"[국감 2018] 환노위 나온 홍장표 전 경제수석,  줄호통에 ""일자리 質 개선..."""
29,"유망 창업·벤처 'K-Global 300', 일자리·매출·투자유치·특허건수 모두 증가"
30,"법인세 낮추자 글로벌기업 몰려와… 헝가리, 일자리 20% 늘었다"
31,"눈물의 말뫼, 스타트업 기지로 부활… 새 일자리 6만3000개 생겨"
32,목화밭이 공장 천국으로… 美 '이스턴 선벨트'의 일자리 기적
33,[데스크칼럼] 일자리 '서포터 타워'가 되려면
34,"文 ""정부, 기업 일자리 창출돕는 서포트 타워로"""
35,"대기업 간 文대통령 ""고용 늘리지 못했다… 일자리는 결국 기업"""
36,"일자리委 “기업 신산업 애로사항 뚫어 투자 125조원, 일자리 9만2000개 만들겠다”"
37,이재갑 고용노동부 장관 “일자리 문제 해결에 역량 집중”
38,"급하다더니… 일자리 추경예산, 절반도 현장에 안 풀렸다"
39,"""벤처에 10兆 투자땐 좋은 일자리 6만개 창출"""
40,"기재부, '고용쇼크' 대응 일자리경제지원과 신설"
41,"찾았다! 혁신 DNA 가진 인재, 제약·바이오업계 일자리 '훈풍'"
42,'고용참사' 실업자수 1999년 이후 최대…청년부터 4050까지 모두 일자리 줄었다(재종합)
43,바이오헬스·SW 등 일자리 11만개 창출
44,박능후 장관 “제약·바이오 일자리 창출…정부와 산업 함께”
45,"청년장병 2명 중 1명 ""제대 후 학업보다 일자리 원해""...대졸 청년 실업률, IMF 이후 가장 높아"
46,"""原電인력 1만명이 일자리 잃는다"""
47,이재갑 고용부 장관 후보자 “일자리 문제 해결에 최선 노력 다할 것”
48,"홍종학 중기부 장관 ""대기업은 일자리 만들지 않아…벤처가 중심 돼야"""
49,年7.3%씩 예산지출 확대해 일자리·복지 늘린다는 정부… 5년 쌓이는 재정적자 179兆
50,[2019 예산안] 내년에도 일자리안정자금 2.8조 투입
51,[2019 예산안] 일자리에 23.5조 '사상 최대'…공무원 3.6만명 채용
52,光州형 일자리공장 무기 연기
53,"""저소득층 일자리 줄고, 고소득층 소득 늘었다""…최저임금發 소득주도성장의 역설"
54,하반기 일자리 확대…건설업계 채용 문턱 넓어지나
55,[단독] '고용 재난' 속 일자리팀 없앤 금융위
56,"""믿고 기다려 달라"" 20조원대 일자리예산 예고한 당정청…""밑 빠진 독에 물붓기"" 비판 봇물"
57,"고용재난 속에 극심해진 양극화…고졸·단순기능직 일자리 급감, 대졸은 늘어"
58,"가스公 2025년까지 10조원 신규 투자 ""일자리 9만개 창출"""
59,정부의 독선이 빚은 '일자리 파국'
60,건설경기 침체에 임시·일용직 일자리도 23만개 날아가
61,"韓 경제, 일자리 엔진 멈췄나…'신기루' 된 취업자수 증가 18만명 목표"
62,"""경기둔화로 직장 잃고, 최저임금으로 자영업 실패""…40대 일자리 14만개 소멸"
63,"[인터뷰] 김은아 경기도주식회사 대표 ""기업 육성해야 일자리 늘고 도민 행복해져"""
64,"이재용의 3대 키워드, 미래성장동력·일자리·상생"
65,"카뱅·케뱅 銀産분리 규제 완화되면, 고급 일자리 4400개 창출"
66,중진공-전북과 지역경제 활성화 및 일자리 창출을 업무협약
67,"일자리안정자금, 숙박 음식업 최저임금 근로자 3분의1 못받았다"
68,"김동연, 삼성 이재용 만났다...혁신성장 일자리창출 등 논의"
69,[데스크 칼럼] '기업 투자=일자리 창출'이라는 믿음
70,고용부 “일자리안정자금 업종별 차등 지급…최저임금 결정 방식 사회적 합의 거쳐 바꿀 것”(종합)
71,김영주 노동부 장관 “내년 일자리안정자금 업종별 차등 지급 검토”
72,"[팀장칼럼] 일자리 넘치는 일본, 투자 줄이는 한국"
73,"집값 잡다가… 年7만개 늘던 건설 일자리, 6000개 사라졌다"
74,"정부 일자리 사업, 작년 17조 퍼붓고도… 6개월 내 절반도 취업 못했다"
75,"패스트캠퍼스, 일자리 창출을 위한 '훈련사다리' 시범사업 교육 기관 선정"
76,[최저임금 대란]⑩ 무인주문기 설치하고 심야영업 중단...일자리 줄이는 프랜차이즈
77,"최저임금 대책 '일자리 안정자금', 노동자가 거부하는 이유는?"
78,美 수입차 관세 공청회 “일자리만 날릴 것” 반대 거셌다
79,"정부, 연구의사 양성·기술창업펀드 지원…""바이오메디컬 산업으로 일자리 창출"""
80,"[하반기 경제정책] 정부, '3% 성장' 포기…일자리 목표도 32만→18만 축소"
81,"""주 52시간, 근로시간 단축으로 일자리 33만6000개 사라져"""
82,[이코노 서가(書架)] 계약직·임시직 늘어나는 '기그 경제'시대의 일자리
83,"한경연 ""근로시간 단축으로 2020년까지 일자리 33.6만개 없어져"""
84,"중소기업 ""2019 최저임금, 일자리 빼앗고 양극화 심화시킬 것"""
85,"김동연 ""최저임금 인상 등 정책 불확실성으로 일자리 주축인 기업 위축"""
86,"최저임금 6개월, 서민 일자리 月평균 11만개 날아갔다"
87,40대 가장들이 운다… 일자리 감소 IMF 이후 최악
88,'대한민국 일자리 100대 으뜸기업' 선정
89,"20대 일자리 3% 줄고, 50대는 84% 늘어"
90,"경총 ""50대 일자리 늘고 20대는 줄어""…노동시장 유연화 필요"
91,"[Tech & BIZ] 2030세대 절반 이상 ""인공지능에 일자리 뺏길 것 같다"""
92,"'진에어 면허취소' 두달뒤 판가름, 2000명 일자리는…"
93,또 부결된 복합쇼핑몰 건립… 사라지는 일자리 1만개
94,"한화그룹, 협력사 일자리 창출 위해 기금 600억원 조성"
95,기업 투자 해외로 몰려… 年 25만개 일자리 유출
96,"""투자 유출로 일자리 손실 연간 12.5만명"""
97,"[2018 중소기업 포럼] 홍종학 장관 ""중소·벤처기업이 잘 돼야, 한국 경제 저성장·양극화·일자리 문제 해결"""
98,'일자리 가뭄' 여파…맞벌이가구 사상 첫 감소·직장 때문에 혼자사는 청년층 증가
99,중국은 '핵공업대학' 만들어 원전 인재 키우는데… 국내 전문가는 일자리 걱정
100,"트럼프 車관세 9월에 때린다, 13만 일자리가 위험하다"
101,"현대차 ‘광주형 일자리’사업, 노조 반발에 급제동"
102,한수원 조직개편…일자리창출·국정과제추진실 등 신설
103,[기자수첩] '탈원전'하면 일자리도 사라진다
104,"홍영표 ""일자리 성적 뼈아프다"""
105,"홍종학 장관 ""일자리 만드는 中企人이 애국자"""
106,"경총 ""의료산업 규제 풀면 일자리 최대 37만개 창출"""
107,[데스크칼럼] 일자리? 제조업이 답이다
108,"""국민 일자리 우려에 공감해야 한다""…최저임금 인상속도 조절될까"
109,"이성일 생기원장 “스마트공장 도입 일자리 50% 증가, 中企에 실증사례 보여줄 것"""
110,'고용대란' 비농업 민간 일자리 금융위기 이후 첫 감소...청년 일자리 '최악'
111,고용위축 82% 건설∙부동산 쏠려…올초부터 일자리 줄어
112,"최저임금 인상 후 알바생 “시급 올랐지만, 일자리 줄어”"
113,"""5년간 일자리 13만개 생긴다""...재계, 남북경협 전담조직 설립"
114,"경제학자들 ""세금으로 만든 일자리 지속 안돼"""
115,"""제조업 일자리 1만개 줄면 다른 산업 일자리 1.3만개 감소"""
116,"2050년 수소산업… 부가가치 年2조5000억달러, 일자리 3000만개"
117,"KDI ""최저임금 1만원 땐, 일자리 32만개 감소"""
