,제목
0,홍장표 주도 소주특위 “대기업 정규직 근로자 ‘나홀로 고임금’ 막아야”
1,"文정부 경제자문 인사들도 ""최저임금 차등 적용하라"" ""현장 목소리 듣길"""
2,"""고용·경기 바로 좋아지진 않을 것… 최저임금은 이미 속도조절 됐다"""
3,'최저임금 타격' BGF리테일 3분기 영업익 19% 감소
4,"""통상임금 분쟁서 신의칙 인정 안되면 일자리 5만개 줄어"""
5,[팀장칼럼] 2020년 최저임금은?
6,"최저임금의 불똥, 무이자할부 등 카드혜택 사라진다"
7,"어도비, 40개 국가에서 남녀 동일임금"
8,급격한 최저임금 인상에 편의점 본사-점주 갈등
9,"""대기업 정규직, 中企·비정규직과 격차 평균임금 1.8배 근속연수는 2.3배 길어"""
10,"美, 근로자 임금 10년만에 최대폭 상승… 市場이 소득 끌어올려"
11,"비정규직 비중 33%, 6년만에 최고치…임금은 정규직 절반 수준"
12,[컨콜] 기아차 “작년 통상임금 비용 제외하면 영업이익 3200억원 감소”
13,소상공인도 이제 최저임금 결정 참여
14,"""최저임금 인상은 청년·자영업자의 제로섬 게임"""
15,"이재갑 고용부 장관 “최저임금, 경제가 감내할 수준 되도록 할 것”"
16,"KDI ""실업률 상승, 노동수요 축소 때문…최저임금 영향 있어"""
17,"""연봉 5460만원도 주휴수당 때문에 최저임금 위반"""
18,"기재부, KDI의 최저임금 쇼크 경고 묵살했다"
19,최저임금委 공익위원 9명중 8명이 '정부편'
20,"중소기업계 ""임금수준 양극화 원인 주휴슈당 폐지해야"""
21,소상공인연합회 “정부가 대법원 판결·최저임금법 위반해”
22,'사회적 대화 중요성'만 강조한 고용부 장관...경총·대한상의 “최저임금 문제 해결해야”
23,"저임금 비판 받던 아마존, 최저시급 15달러로 인상"
24,"김동연 ""최저임금 지역별 차등 적용 검토 중…아이디어 차원"""
25,"이낙연 ""최저임금 차등 적용 여러가지 문제점 있어"""
26,"대한상의, 최저임금 결정 개선방안 정부에 건의"
27,"금호석유화학, 31년째 무분규 임금협상 체결"
28,"삼성중공업, 3년치 임금협상 타결…기본급 동결"
29,"BBQ, 포괄임금제 폐지...급여체계 전면개편"
30,"10개 경제단체 ""최저임금 시행령 반대"""
31,"경제단체 ""최저임금법 시행령 개정 반대…현행 유지하자"" 한 목소리"
32,[투자노트] 최저임금 인상에다 금리까지?…내년 중소형주는 괜찮을까
33,"한국경제연 ""최저임금, 실제 일한 시간만 지급해야"""
34,"[단독] 포스코, 임금피크제 적용 57세로 1년 늦춘다"
35,"최저임금 오르고 청년수당 지원 늘자 청년들 ""차라리 알바""… 中企엔 또다른 고통"
36,뚜렷해진 최저임금發 고용 악화…고졸 실업률 9년만에 최고 의미는?
37,"김동연 ""최저임금 인상 속도 조절, 黨·靑과 협의…내년 인상률은 불가역적"" (종합)"
38,"김동연 ""최저임금 인상 속도 조절 방안 당·청과 협의하겠다"""
39,'최저임금 인상' 직격탄 맞은 편의점 출점 절반으로 줄었다
40,현대重 해양사업본부 무급휴직 철회…임금 40% 제안
41,"국회 찾아간 박성택 ""최저임금·근로시간 유연하게"""
42,"""최저임금 과속, 한국 생산성에 악영향"""
43,“임금 오르면 긴축 속도 빨라진다…미국 8월 고용보고서 주목” - 신한
44,"[뉴스 TALK] 자영업자 가장 괴롭히는 건… 與 ""월세"" 野 ""최저임금"""
45,"올해 근로자 임금 상승률 대기업 9.6%, 중소기업 4.8%"
46,"추석 상여금도 못주고 임금 동결하고… 중소기업들 ""9월이 오지 않았으면"""
47,"[소상공인 총궐기] ""정부의 급격한 최저임금 인상에 생존 위협 받아"""
48,“가게 문 닫고 나왔다” 최저임금 폭탄에 성난 자영업자 3만명 '생존투쟁'
49,"전국 소상공인들, 오늘 최저임금 항의 집회"
50,"""소상공·中企 최저임금 인상 부담 덜어줄 것""...홍종학 장관, 9월 소상공인·자영업자 경쟁력 강화 후속 대책 발표"
