,단어명,정치빈도수,경제빈도수,사회빈도수
0,남북,380,39,95
1,회담,278,6,6
2,김정은,263,1,8
3,평화,218,5,123
4,국회,209,23,44
5,민주당,209,5,117
6,평양,188,11,31
7,북한,181,26,61
8,선언,179,7,48
9,자유,167,5,64
10,정상회담,153,4,17
11,합의,130,24,52
12,위원장,128,27,54
13,비핵화,122,1,3
14,정상,110,5,18
15,국민,104,25,92
16,정의당,98,1,13
17,장관,94,36,48
18,선거,92,5,137
19,문재인,91,27,40
20,한반도,89,9,38
21,북미,89,6,5
22,대화,89,15,28
23,민주,85,3,80
24,고위,84,4,17
25,트럼프,84,32,2
26,여야,82,2,13
27,미국,81,79,35
28,평창,79,13,49
29,논란,77,86,186
30,보수,76,14,57
31,경제,76,116,35
32,공동,75,24,34
33,개헌,73,1,16
34,논의,72,26,35
35,대북,69,8,11
36,드루,69,5,115
37,방북,68,6,3
38,개혁,67,42,52
39,수사,67,18,337
40,이해찬,65,1,1
41,의혹,64,38,346
42,지방선거,64,3,55
43,협의,62,19,15
44,야당,59,2,9
45,발언,59,7,31
46,서울시장,59,1,12
47,남북정상회담,57,6,13
48,정당,56,2,28
49,회의,55,14,57
50,단독,54,126,257
51,공개,52,73,96
52,외교,52,2,2
53,총리,51,2,14
54,방문,51,8,20
55,군사,50,2,5
56,박근혜,50,5,192
57,박원순,50,1,45
58,우리,50,30,111
59,특검,50,1,94
60,지원,49,111,104
61,인사,49,18,344
62,사퇴,49,12,34
63,문건,47,6,57
64,제안,46,14,21
65,검토,46,43,53
66,협상,45,42,10
67,도착,45,1,7
68,조명,44,2,8
69,위원,44,7,23
70,조사,44,66,265
71,국가,44,19,73
72,최고,44,68,133
73,유승민,44,1,3
74,개헌안,44,1,5
75,정책,43,47,76
76,비판,42,6,46
77,여성,41,26,204
78,준비,41,18,20
79,사과,40,16,58
80,제재,40,29,7
81,발표,40,28,32
82,이재명,40,1,129
83,관계,40,6,25
84,발의,40,4,11
85,통일,39,3,39
86,영상,39,9,114
87,요구,39,33,82
88,사실,39,10,64
89,반대,38,24,87
90,보도,38,1,55
91,주장,38,7,38
92,예술,38,3,28
93,한미,38,14,2
94,대책,38,43,64
95,금강산,38,2,8
96,채용,37,84,114
97,비리,37,42,131
98,협력,37,63,28
99,보고,37,9,39
100,특별,37,17,47
101,투표,37,9,33
102,여당,37,6,8
103,역사,37,7,47
104,추미애,37,1,1
105,시민,36,15,166
106,확인,36,18,64
107,유해,36,1,30
108,개최,36,12,18
109,의지,36,7,7
110,통합,36,16,24
